"판시사항","손해액 산정 시 피해자가 수령한 휴업급여금 등의 공제범위 [2] 일실수입 산정의 기초가 되는 급여소득의 판단 기준"
"이유","원심은 제1심판결의 이유를 인용하여, 원고가 근로복지공단으로부터 지급받은 휴업급여 44,976,520원은 이 사건 교통사고로 인한 노동능력상실률에 따른 일실수입 손해액에서 전액 공제되어야 한다고 판단하였다."
"이유","손해배상은 손해의 전보를 목적으로 하는 것이므로 피해자로 하여금 근로기준법이나 산업재해보상보험법에 따라 휴업급여나 장해급여 등을 이미 지급받은 경우에 그 급여액을 일실수입의 배상액에서 공제하는 것은 그 손해의 성질이 동일하여 상호보완적 관계에 있는 것 사이에서만 가능하다."
"이유","따라서 피해자가 수령한 휴업급여금이나 장애급여금이 법원에서 인정된 소극적 손해액을 초과하더라도 그 초과부분을 기간과 성질을 달리하는 손해배상액에서 공제할 것은 아니며, 휴업급여는 휴업기간 중의 일실수입에 대응하는 것이므로 그것이 지급된 휴업기간 중의 일실수입 상당의 손해액에서만 공제되어야 할 것이다."
"이유","원심은 이에 관하여 아무런 심리도 하지 않은 채 전체 일실수입에서 휴업급여금 전액을 공제하였으니, 이러한 원심의 조치는 손해배상사건에 있어 휴업급여의 공제에 관한 법리를 오해한 나머지 필요한 심리를 다하지 아니한 위법이 있다."
"이유","불법행위로 인하여 사망하거나 신체상의 장해를 입은 급여소득자가 장래 얻을 수 있는 수입의 상실액은 상실되거나 감퇴된 노동능력에 관한 것이므로 사용자에 의하여 근로의 대상으로 계속적·정기적으로 지급되는 금품이라면 그 명칭이나 그 지급 근거가 급여규정에 명시되어 있는지 여부에 상관없이 이에 포함되어 있다."
"이유","지급의무의 발생이 개별 근로자의 특수하고 우연한 사정에 의하여 좌우되는 것이거나 업무를 수행함에 있어 소요되는 경비를 보전해 주는 실비변상적 성격을 가지는 것은 일실수입 산정의 기초가 되는 급여소득에서 제외된다."
"이유","원심은 원고가 수령하였다고 주장하는 급여 중 중식비와 업무활동보조비는 근로자가 업무를 수행함에 있어 소요되는 경비를 보전해주는 차원의 실비변상적 급여에 불과하고 시간외 근무수당, 휴일근무수당, 연월차휴가보상금 등은 계속하여 정기적, 일률적으로 지급되는 것이 아니라는 이유로 원고의 일실수입 산정에 기초가 되는 급여소득에서 제외된다고 보았는바이다."
"이유","원심의 이러한 판단은 위 법리와 기록에 비추어 수긍할 수 있고, 거기에 상고이유에서 주장하는 바와 같은 법리오해의 위법이 없다."
"이유","타인의 불법행위로 상해를 입은 피해자의 일실이익을 산정하기 위한 방법의 하나인 피해자의 노동능력상실률을 인정·평가함에 있어, 궁극적으로는 법관이 피해자의 연령, 교육정도, 노동의 성질과 신체기능 장애 정도, 기타 사회적·경제적 조건 등을 모두 참작하여 경험칙에 비추어 규범적으로 결정할 수밖에 없다."
"이유","2006. 3. 8.부터 60세가 되는 날까지는 31.98%로 인정·평가한 것은 수긍할 수 있고, 거기에 상고이유에서 주장하는 바와 같은 채증법칙 위반 등의 잘못은 없다."
"이유","기록에 의하면, 제1심은 선정자 소외 1, 2, 3의 위자료청구 부분에 대하여 원고의 연령, 상해와 후유장해의 각 부위 및 정도 등 제반 사정을 고려하여 각 1,500,000원으로 정한 다음 피고로 하여금 위 선정자들에게 각 1,500,000원과 지연손해금의 지급을 명하였다."
"이유","원고는 원심판결 중 원고 패소 부분 전부에 대하여 상고하였으나, 청구가 일부 기각된 원고의 적극적 손해와 위자료 부분에 대하여는 상고장이나 상고이유서에 그 이유의 기재가 없다."
"이유","나머지 상고는 기각하되 상고기각 부분의 원심판결 이유에 위에서 본 바와 같은 명백한 오기가 있어 이를 경정하기로 하여, 관여 대법관의 일치된 의견으로 주문과 같이 판결한다."
