"판시사항","주택건설사업계획승인을 얻은 사업주체가 승인을 얻은 후 3개월 이상 협의를 거쳤음에도 협의가 이루어지지 않은 경우, 매도청구권을 행사할 수 있는 기간이다."
"이유","매도청구권 행사기간에 관한 법리오해 등 주장에 대하여 구 주택법 제18조의2에 의하면, 제16조 제2항 제1호의 규정에 의하여 주택건설사업계획승인을 얻은 사업주체는 해당 주택건설대지 중 사용할 수 있는 권원을 확보하지 못한 대지의 소유자에게 그 대지를 시가에 따라 매도할 것을 청구할 수 있다."
"이유","이 경우 매도청구 대상이 되는 대지의 소유자와 매도청구를 하기 전에 3개월 이상 협의하여야 하며, 제1항에 따른 매도청구에 관하여는 집합건물의 소유 및 관리에 관한 법률 제48조의 규정을 준용한다."
"이유","위와 같이 구 주택법 제18조의2 제3항에 따라 주택건설사업계획승인을 받은 사업주체의 매도청구에 대하여 준용되는 집합건물법 제48조 제4항은 ‘제2항의 기간이 지나면 제2항의 기간 만료일로부터 2개월 이내에 매도할 것을 청구할 수 있다.’고 규정하고 있다."
"이유","이를 구 주택법 제18조의2 제1항의 문언에 맞게 준용하여 보면, 사업주체는 매도청구를 하기 전에 3개월 이상의 기간 동안 협의하여야 하되, 그 협의가 종료한 때에는 ‘그 협의 종료일로부터 2개월 이내’에 매도할 것을 청구할 수 있다고 새기는 것이 문언상 자연스럽다. "
"이유","또한 만일 이와 달리 위 규정을 사업주체는 매도청구를 하기 전에 3개월 이상의 기간 동안 협의하여야 하되, ‘3개월 경과 시부터 2개월 이내’에 매도할 것을 청구할 수 있다고 해석하게 된다. "
"이유","구 주택법 제18조의2 제1항이 ‘매도청구를 하기 전에 3개월 이상 협의’라고 규정함으로써 최소한 3개월 동안의 협의를 반드시 거쳐야 한다. "
"이유","이에 원고가 2010. 9. 14. 피고들에 대하여 매도청구권을 행사한다는 내용의 의사표시가 기재된 이 사건 소장부본이 피고 1에게 2010. 9. 28.자로,피고 2에게 2010. 9. 29.자로 각 송달된 사실을 알 수 있다."
"이유","위 사실관계를 앞서 본 법리에 비추어 살펴보면, 원고가 피고들과 매매협의를 하던 중 2010. 3. 25. 사업계획승인을 받고도 계속 협의를 진행하였으므로 사업계획승인을 받은 2010. 3. 25. 주택법 제18조의2에 의한 매도청구권 행사를 위한 협의를 개시하였다고 할 것이다. "
"이유","그 후 3개월 이상이 경과한 2010. 9. 10.에 협의가 종료되었으므로 그로부터 2개월 내인 2010. 9. 28.자로 피고 1에게, 2010. 9. 29.자로 피고 2에게 각 매도청구권을 행사한 것은 적법하다고 할 것이다."
"이유","원심판결의 이유설시에는 다소 미흡한 점이 있으나, 원고의 피고들에 대한 이 사건 매도청구권의 행사가 적법하다고 판단한 결론에 있어서는 정당하다. 거기에 상고이유에서 주장하는 바와 같은 매도청구권 행사기간에 관한 법리오해 등의 위법이 없다."
"이유","원심은 그 채택 증거들을 종합하여, 원고는 2006. 2. 6. 광주시 역동 일원 227,060㎡가 역동 제1종 지구단위계획구역으로 지정되자, 위 구역 내에 속하는 이 사건 사업부지 지상에 공동주택건설사업을 추진하여 구 주택법 제16조에 따라 2010. 3. 25. 광주시장으로부터 주택건설사업계획승인을 받은 사실이다."
"이유","원고는 사업계획승인을 받을 당시 이 사건 사업부지 17,559㎡ 중 17,110㎡에 대하여 소유권 등 사용권원을 취득하여 이 사건 사업부지 중 97%에 관하여 사용권원을 확보한 사실을 인정한 후, 원고의 피고들에 대한 이 사건 매도청구권 행사는 적법하다고 판단하였는 바이다. "
"이유","관련 법리 및 기록에 비추어 살펴보면 원심의 위와 같은 인정 및 판단은 정당하고 거기에 상고이유에서 주장하는 바와 같은 구 주택법 제16조 제2항의 법령 위반, 청구취지와 항소취지의 모순, 이유불비와 이유모순, 논리와 경험칙에 반하여 자유심증주의의 한계를 벗어난 위법이 없다."
