"판시사항","원고용주가 근로자로 하여금 제3자를 위한 업무를 수행하도록 하는 경우, 파견근로자보호 등에 관한 법률의 적용을 받는 ‘근로자파견’에 해당하는지 판단하는 기준."
"이유","원고용주에게 고용되어 제3자의 사업장에서 제3자의 업무를 수행하는 사람을 제3자의 근로자라고 하기 위해서는, 원고용주가 사업주로서의 독자성이 없거나 독립성을 결하여 제3자의 노무대행기관과 동일시할 수 있는 등 그 존재가 형식적·명목적인 것에 지나지 아니한다."
"이유","사실상 당해 피고용인은 제3자와 종속적인 관계에 있으며 실질적으로 임금을 지급하는 주체가 제3자이고 근로 제공의 상대방도 제3자이어서, 당해 피고용인과 제3자 사이에 묵시적 근로계약관계가 성립하였다고 평가할 수 있어야 한다."
"이유","한편 파견근로자보호 등에 관한 법률 제2조 제1호에 의하면, 근로자파견이란 파견사업주가 근로자를 고용한 후 그 고용관계를 유지하면서 근로자파견계약의 내용에 따라 사용사업주의 지휘·명령을 받아 사용사업주를 위한 근로에 종사하게 하는 것을 말한다."
"이유","원심은 그 채택 증거를 종합하여 판시 사실을 인정한 다음, 재단법인 OOO와 주식회사 이 OOO 승객서비스업을 담당하는 OOO 승무사업본부나 승무본부를 따로 두고 소속 직원을 관리한 점이다."
"이유","OOO 등은 원고들과 같은 OOO 여승무원을 직접 채용한 뒤 자체 계획과 기준에 따라 OOO 여승무원에 대한 교육 및 근무평가를 실시하고 그 결과를 인센티브 지급 등에 반영한 점이다."
"이유"," OOO 등이 채용·복무·보수·해고에 관한 내용이 포함된 ‘고속철도승무원 운용지침’을 제정하고 징계처분 등 OOO 여승무원에 대한 인사권을 직접 행사하였던 점이다."
"이유","OOO 여승무원의 업무에는 열차팀장이 담당한 운행 및 승객의 안전 업무와 밀접하게 관련된 부분이 일부 존재하나 이는 매우 예외적인 상황에 필요한 것으로서 일상적인 활동이 아니고 OOO 여승무원의 전체 업무에서 차지하는 비중도 극히 낮은 점이다."
"이유","OOO 등이 OOO 여승무원을 고용한 후 그 고용관계를 유지하면서 OOO 여승무원으로 하여금 피고 측의 지휘·명령을 받아 피고 측을 위한 근로에 종사하게 하는 근로자파견관계에 해당한다고 보기도 어렵다고 판단하였다."
"이유","앞서 본 법리와 기록에 비추어 살펴보면, 원심이 OOO 등이 피고 측과 체결한 각 위탁협약에 따라 독립적으로 OOO 승객서비스업을 경영하고 OOO 여승무원에 대한 인사권도 독자적으로 행사하였다고 보아 원고들과 피고 측 사이의 묵시적 근로계약관계의 성립을 부정한 것은 정당하다."
"이유","따라서 원심판결에는 상고이유 주장과 같이 논리와 경험의 법칙을 위반하여 자유심증주의 한계를 벗어나거나 위장도급과 관련된 사업경영상의 독립성, 인사노무관리의 독립성, 근로자파견에 있어 사용사업주의 지휘·명령 등에 관한 법리를 오해하는 등의 위법이 없다."
"이유","그러므로 상고를 모두 기각하고 상고비용은 패소자들이 부담하도록 하여, 관여 대법관의 일치된 의견으로 주문과 같이 판결한다."
