"판시사항","위 선박의 양도행위가 임금채권 등 근저당권에 우선하는 채권을 가진 자에 대하여는 사해행위에 해당한다고 판단한 원심판결을, 채권자취소권에 관한 법리오해를 이유로 파기한 사례"
"판결요지","저당권이 설정되어 있는 재산이 사해행위로 양도된 경우에 그 사해행위는 그 재산의 가액, 즉 시가에서 저당권의 피담보채권액을 공제한 잔액의 범위 내에서 성립한다."
"판결요지","위 선박의 양도행위가 임금채권 등 근저당권에 우선하는 채권을 가진 자에 대하여는 사해행위에 해당한다고 판단한 원심판결을, 채권자취소권에 관한 법리오해를 이유로 파기한 사례."
"이유","원심은, 그 채용 증거들을 종합하여, 소외 1 주식회사는 그 소속 근로자이던 소외 2 외 7인에 대한 임금 및 퇴직금 합계 91,177,670원을 지급하지 못한 채 2001. 7. 27. 1차 부도를 낸다."
"이유","소외 1 주식회사는 위 근로자들에 대한 임금채무 등의 지급을 면탈하고자 고의로 채권자들 중의 1인인 피고에게 소외 1 주식회사의 유일한 재산인 이 사건 선박을 대물변제조로 양도한다."
"이유","근로기준법 제37조 제2항 소정의 최우선변제권 있는 임금 및 퇴직금으로서 1, 2순위 각 근저당권의 피담보채권에 우선하여 만족을 받을 수 있으므로, 위 매매계약은 일반채권자가 아닌 최우선변제권 있는 위 임금 등 채권의 대위자인 원고에 대한 관계에 있어서는 원고를 해하는 사해행위에 해당한다고 판단하였다."
"이유","저당권이 설정되어 있는 재산이 사해행위로 양도된 경우에 그 사해행위는 그 재산의 가액, 즉 시가에서 저당권의 피담보채권액을 공제한 잔액의 범위 내에서 성립한다."
"이유","피담보채권액이 그 재산의 가액을 초과하는 때에는 당해 재산의 양도는 사해행위에 해당한다고 할 수 없다고 할 것인 바이다."
"이유","위와 같은 법리는 채권자들 중에 그 채무자에 대하여 임금채권 등 경매 등의 환가절차에서 저당권에 의하여 담보되는 채권보다 우선하여 배당을 받을 수 있는 채권자가 있는 경우에도 마찬가지라고 할 것이다."
"이유","피담보채권액이 그 재산의 가액을 초과하는 재산의 양도행위가 저당권의 피담보채권보다 우선하여 배당받을 수 있는 채권자에 대한 관계에 있어서만 사해행위가 된다고 할 수도 없다."
"이유","그럼에도 불구하고, 원심은 그 판시와 같은 이유로 이 사건 매매계약이 원고에 대한 관계에 있어서는 원고를 해하는 사해행위에 해당한다고 판단하였으니, 원심판결에는 채권자취소권에 관한 법리를 오해한 위법이 있고, 이러한 위법은 판결에 영향을 미쳤음이 분명하다."
"이유","그러므로 원심판결 중 피고 패소 부분을 파기하고, 이 부분 사건을 다시 심리·판단하게 하기 위하여 원심법원에 환송하기로 하여 관여 법관의 일치된 의견으로 주문과 같이 판결한다."
