"판시사항","독점규제 및 공정거래에 관한 법률 제19조 제1항 제1호에 정한 가격 결정 등의 합의에 참가한 사업자 일부 및 전부가 부당한 공동행위를 종료하였다고 보기 위한 요건"
"이유","독점규제 및 공정거래에 관한 법률 제19조 제1항 제1호에 정한 가격 결정 등의 합의와 그에 터 잡은 실행행위가 있었던 경우에 ‘부당한 공동행위가 종료한 날’은 그 합의에 터 잡은 실행행위가 종료한 날이다."
"이유","따라서 합의에 참가한 일부 사업자가 부당한 공동행위를 종료하기 위해서는 다른 사업자에 대하여 합의에서 탈퇴하였음을 알리는 명시적 내지 묵시적인 의사표시를 하고 독자적인 판단에 따라 담합이 없었더라면 존재하였을 가격 수준으로 인하하는 등 합의에 반하는 행위를 하여야 한다."
"이유","OOO 주식회사, OOO, OOO, OOO, OOO, OOO는 2008. 3. 6.경부터 6. 24.경까지 대표자 모임 및 영업팀장 모임 등을 통하여 2008. 7. 1.부터 적용할 폐석면 매립 ‘기준가격’을 톤당 25만 원으로 정하기로 합의했다."
"이유","원고 등이 합의한 ‘기준가격’은 최종 거래가격이 아니라, 실제 개별거래에서 납품가격이나 판매가격을 결정할 때 참고가 되는 가격이다."
"이유","그런데 2008. 7.부터 피고가 이 사건 공동행위의 종기라고 본 2013. 7.까지의 톤당 실제 월평균 가격은 매우 큰 변동 폭을 보였다."
"이유","그러나 2008. 10. 내지 11.부터 이에스티는 217,000원에서 150,000원으로, 케이엠그린은 213,000원에서 155,000원으로 큰 폭으로 폐석면 매립가격을 인하하였다."
"이유","이들은 그 후에도 일시적으로 가격을 인상한 경우도 있으나 대체로 2013. 7.까지 큰 폭으로 인하된 가격상태를 유지하였다."
"이유","그 후로도 2011. 11.까지 약 2년 동안 기준가격에 비하여 상당히 인하된 가격상태를 유지하다가, 2012. 1.부터 2013. 7.까지는 대체로 20만 원 선을 유지한 것으로 보인다. 이러한 사정은 OOO와 OOO의 경우에도 마찬가지로 찾아볼 수 있다."
"이유","원고 등이 기준가격을 합의한 이후, 신규업체로서 ○○○○개발이 2008. 9.경, △△△△산업이 2009. 3.경 각 시장에 진입함으로써 폐석면 매립 시장에서의 경쟁이 심화되었다. 또한, 피고는 이 사건 합의에 관한 제보를 접하고 2008. 10.경 1차 현장조사, 2011. 11.경 2차 현장조사를 하였다."
"이유","원고 등이 합의의 계속적 유지·실행을 위한 구체적 조치를 취하였다거나, 합의를 준수하지 아니한 사업자들에 대한 제재 조치를 논의·실행하였다는 등의 사정을 인정할 자료는 기록상 찾아보기 어렵다."
"이유","이러한 사정을 앞에서 본 법리에 비추어 살펴보면, 원고를 포함한 다수의 사업자들은 적어도 2009. 9. 내지 11. 이후부터 상당히 오랜 기간 동안 기준가격에 비하여 큰 폭으로 가격을 인하하였다."
"이유","각 시기별로 업체별 가격차이 역시 상당히 컸으므로, 원고 등의 이 사건 합의는 적어도 2009. 11.경에 이르러서는 사업자들 사이에 반복적인 가격 경쟁 등을 통하여 사실상 파기되었다고 봄이 타당하다."
