"판시사항","시세의 과세 또는 면제에 관한 조례가 개정되면서 그 부칙에서 경과규정을 두지 아니한 경우, 적용하여야 할 조례"
"이유","납세고지서에는 원칙적으로 납세의무자가 부과처분의 내용을 상세하게 알 수 있도록 과세대상 재산을 특정하고 그에 대한 과세표준액, 적용할 세율 등 세액의 산출근거를 구체적으로 기재하여야 한다."
"이유","과세관청이 과세처분에 앞서 납세의무자에게 보낸 과세예고통지서 등에 납세고지서의 필요적 기재사항이 제대로 기재되어 있어 납세의무자가 그 처분에 대한 불복 여부의 결정 및 불복신청에 전혀 지장을 받지 않았음이 명백하다면, 이로써 납세고지서의 하자가 보완되거나 치유될 수 있다."
"이유","그 적용세율은 이 사건 각 납세고지서에 기재된 과세표준과 세액을 비교함으로써 용이하게 파악할 수 있는 데다가 피고가 이 사건 제1 부과처분 이전에 보낸 과세예고통지서에 과세표준과 세율, 세액 등이 기재되어 있어 원고로서는 세액의 산출근거를 쉽게 알 수 있었던 것으로 보이는 점이다."
"이유","이 사건 각 납세고지서에는 지방세 부과의 근거 법령이 완전히 누락된 것이 아니라 총괄적으로 기재되어 있는 점이다."
"이유","앞서 본 각 규정과 법리 및 기록에 비추어 살펴보면 이와 같은 원심의 판단은 정당한 것으로 수긍할 수 있고, 거기에 상고이유에서 주장하는 납세고지서 기재사항의 하자에 관한 법리오해 등의 위법이 없다."
"이유","개정 조례 부칙에서 ‘종전의 규정을 개정 조례 시행 후에도 계속 적용한다’는 경과규정을 두지 아니한 이상, 다른 특별한 사정이 없는 한 법률불소급의 원칙상 개정 전후의 조례 중에서 납세의무가 성립한 당시에 시행되는 조례를 적용하여야 한다."
"이유","도시재개발법 제2조 제2호 소정의 주택개량재개발사업’으로 축소하는 한편, 재개발사업자에게 유리한 종전의 규정을 적용하도록 부칙 제2항에서 경과규정을 두었던 점이다."
"이유","개정 감면조례는 그 시행기간이 1994. 12. 31.로 만료되었고 그 이후 위 시행기간이 연장되지 않았으므로, 개정 감면조례 부칙 제2항은 개정 감면조례의 실효와 함께 실효되었다고 보아야 하는 점이다."
"이유","그 후 개정 감면조례를 대체하기 위하여 1994. 12. 31. 새로이 제정되어 그 다음날부터 시행된「서울특별시세감면조례」에는 구 감면조례와 같은 주택개량재개발사업자 이외의 재개발사업자를 위한 취득세 등의 면제규정이 없다."
"이유","개정 감면조례 부칙 제2항과 같은 특별한 경과규정도 없는 점 등에 비추어 보면, 이 사건 취득세 등의 부과에 있어서는 납세의무 성립시인 이 사건 토지와 건축물의 취득 또는 등기시 시행되는 「서울특별시세감면조례」가 적용되어야 한다."
"이유","나아가 일반적인 신뢰보호원칙에 의하여 구 감면조례를 적용해야 한다고 볼 수도 없으므로, 이 사건 처분은 적법하다고 판단하였다."
"이유","앞서 본 법리와 기록에 비추어 살펴보면 이와 같은 원심의 판단은 정당하고, 거기에 상고이유에서 주장하는 감면조례 개정에 따른 적용조례에 관한 법리오해 등의 위법이 없다."
