"판시사항","대기발령을 포함한 인사명령이 인사권자인 사용자의 고유권한에 속하는지 여부 및 사회통념상 합리성이 없을 정도로 부당하게 장기간 유지하는 대기발령 조치의 효력"
"이유","원고는 1986. 1. 소외 OOO 주식회사에 입사한 다음 1989.경부터는 같은 회사의 기술연구소 내 차량실험실에서 근무하기 시작하였다."
"이유","그 후 소외 회사는 회사의 경영이 어려워지자 1998. 10. 14. 원고를 영업팀인 필드서베이팀으로 전보하는 처분을 하였다가, 2000. 12. 1. 경영상 과원을 이유로 대기발령을 하였다."
"이유","2002. 8. 7. 설립된 피고 회사는 2002. 10.경 소외 회사의 부평공장 일부, 창원공장, 군산공장을 자산양수도 방식으로 인수하였다."
"이유","그 소속의 근로자들에 대하여는 소외 회사를 퇴사하고, 피고 회사에 재입사하는 형식을 취하여 고용관계를 그대로 승계하기로 하였다."
"이유","소외 회사와 동일한 근로조건 하에 소외 회사에서 근무하던 부서에서 동일한 직무를 수행하는 조건으로 근로자들을 신규로 고용하되 피고 회사는 소외 회사의 퇴직금 지급의무만을 승계한다."
"이유","근로자들은 피고 회사를 상대로는 소외 회사와의 고용관계 및 소외 회사로부터의 퇴사와 관련하여 발생하는 어떠한 권리주장이나 청구를 하지 않을 것에 동의한다."
"이유","피고 회사 취업규칙 제67조 제11호는 ‘대기발령된 자가 3개월이 경과되도록 보직되지 아니한 때에는 해고한다’고 규정하고 있는데도 원고는 2000. 12. 1. 소외 회사로부터 대기발령을 받은 이래, 피고 회사가 고용승계를 한 2002. 10. 이후에도 보직을 부여받지 못한 채 기본급만 지급받아 오고 있다."
"이유","원심이 제1심판결을 인용하여, 소외 회사가 원고에 대하여 한 1998. 10. 14.자 전보처분, 이 사건 인사대기처분의 각 무효와 임금 및 위자료의 지급을 구하는 이 사건 주위적 청구가 원고와 피고 회사 사이의 부제소합의에 반하여 이루어진 것이어서 부적법하다."
"이유","위 부제소합의가 비진의 의사표시에 해당하거나 피고 회사의 강요 또는 원고의 궁박, 경솔, 무경험으로 인하여 현저히 불공정하게 체결되었다고 볼 수 없으며, 부제소합의의 문구가 예문에 불과하다고 볼 수도 없다고 하여, 원고의 주위적 청구를 각하한 제1심판결을 유지한 것은 정당하다."
"이유","거기에 부제소합의에 관한 심리미진으로 인한 사실오인, 비진의 의사표시, 불공정한 법률행위, 강요된 행위에 관한 법리오해 등의 위법이 있다고 할 수 없다."
"이유","달리 피고 회사가 인사대기처분을 하였음을 인정할 증거가 없으므로 나머지 점에 관하여 더 나아가 살필 필요 없이 이유 없다고 판단하였다."
"이유","기업이 그 활동을 계속적으로 유지하기 위하여는 노동력을 재배치하거나 그 수급을 조절하는 것이 필요불가결하므로, 대기발령을 포함한 인사명령은 원칙적으로 인사권자인 사용자의 고유권한에 속한다 할 것이다."
"이유","따라서 이러한 인사명령에 대하여는 업무상 필요한 범위 안에서 사용자에게 상당한 재량을 인정하여야 하지만 대기발령이 일시적으로 당해 근로자에게 직위를 부여하지 아니함으로써 직무에 종사하지 못하도록 하는 잠정적인 조치이다."
"이유","기록에 의하면, 피고 회사의 취업규칙 제53조 제1호는 경영형평상 과원으로 인정된 자에 대하여는 대기발령을 할 수 있다."
"이유","제53조 제2호는 대기발령된 직원에 대하여는 출근을 금할 수 있으며, 회사의 명에 의하여 출근하는 경우에는 기본급 또는 그에 준하는 임금만을 지급하고 기타의 급여는 지급하지 아니한다고 되어 있으며, 소외 회사에도 동일한 내용이 취업규칙에 정해져 있는 바이다."
"이유","그렇다면 피고 회사가 2002. 10. 11.경 이후에도 원고에 대한 대기발령을 그대로 유지한 조치는 특별한 사정이 없는 한 무효라고 볼 것이다."
"이유","한편, 기록에 의하면, 원고 대리인은 2004. 5. 17. 제출한 청구취지 변경신청서에서 예비적 청구취지로 2003. 10. 11.자 인사대기처분의 무효를 구하고 있으나, 위 날짜를 기준으로 청구하는 원인은 전혀 밝히지 아니하고 있다."
"이유","오히려 같은 날짜에 제출한 준비서면에서는 피고 회사가 고용승계를 한 후에도 인사대기처분을 유지하고 있는데 이러한 조치가 부당하다는 취지로 주장하면서 고용승계 이후의 대기처분은 피고가 행한 처분으로 보아야 한다고 주장하고 있는 바이다."
"이유","결국 원고 주장의 요지는 피고 회사가 대기발령을 유지하면서 보직을 부여하지 않고 있는 것이 부당하다는 취지로 선해할 여지도 충분히 있다고 할 것이다."
"이유","그러므로 원심판결 중 예비적 청구에 관한 부분을 파기하여 이 부분 사건을 다시 심리·판단하도록 원심법원에 환송한다."
"이유","원고의 나머지 상고를 기각하며 상고기각 부분의 상고비용은 패소자의 부담으로 하기로 하여 관여 대법관의 일치된 의견으로 주문과 같이 판결한다."
