"판시사항","사정명의인이 타인의 명의신탁 주장에 대하여 사정 이전의 취득 경위에 대하여 주장하였으나 입증하지 못한 경우, 당연히 명의신탁 사실을 인정하여야 하는지 여부"
"이유","토지의 사정을 받은 자는 그 토지를 원시적으로 취득하므로 사정을 이유로 소유권을 취득하였음을 주장하는 자는 그 사정 사실 외에 사정 이전의 토지 취득 경위까지 입증할 필요는 없다."
"이유","반면에, 타인에게 명의를 신탁하여 사정을 받은 것이라고 주장하는 자는 그 명의신탁 사실에 대한 입증책임이 있다."
"이유","사정명의자 쪽에서 사정 이전의 취득 경위에 관하여 주장하더라도 이는 명의신탁 주장에 대한 부인에 해당하고 새로운 취득 권원을 주장한 것이라고 할 수 없으므로 이에 대하여 입증하지 못하였다고 하여 당연히 명의신탁 사실이 인정되어야 하는 것은 아니다."
"이유","이 사건 토지는 피고 1의 조부인 망 소외 1 명의로 사정받은 토지이므로 위 소외 1의 상속인인 피고 1로서는 그 취득 경위에 관하여 더 이상의 입증을 할 필요는 없다."
"이유","위와 같은 주장은 토지 사정 이전의 사실에 관한 것으로서 원고의 명의신탁 주장에 대한 부인에 해당하고 새로운 취득 권원에 대한 주장이라고 할 수 없다."
"이유","따라서 원심이 이 사건 토지가 원고 소유로서 위 망 소외 1 명의로 신탁하여 사정받은 토지라는 원고 주장을 인정할 증거가 부족하다고 하여 원고의 청구를 기각하였을 뿐이다."
"이유","위 피고의 위와 같은 주장 사실에 대한 판단을 명시하지 아니하였다고 하여 거기에 입증책임의 분배에 관한 법리오해, 판단유탈, 심리미진의 위법이 있다고 할 수 없다."
"이유","그와 같은 자료들이 충분히 증명되지 아니하고 오히려 반대되는 사실의 자료가 많을 때에는 이를 인정하여서는 아니 된다고 할 것이다."
"이유","거기에 소론과 같은 종중재산의 형성 및 명의신탁 성립에 관한 사실인정을 함에 있어서의 이유모순이나 이유불비, 경험칙과 채증법칙에 위배하거나 심리를 다하지 아니하고 판례를 잘못 해석하여 사실을 오인한 위법, 판단유탈 등의 위법이 있다고 할 수 없다."
"이유","그러므로 상고를 기각하고 상고비용은 패소자의 부담으로 하기로 하여 관여 법관의 일치된 의견으로 주문과 같이 판결한다."
