"판시사항","사용자가 선택적 복지제도를 시행하면서 단체협약, 취업규칙 등에 근거하여 근로자들에게 계속적·정기적으로 배정한 복지포인트가 근로기준법에서 정한 임금 및 통상임금에 해당하는지 여부"
"이유","근로기준법이 연장·야간·휴일 근로에 대한 가산임금, 해고예고수당, 연차휴가수당 등의 산정기준과 평균임금의 최저한으로 규정하고 있는 통상임금은 근로자가 소정근로시간에 통상적으로 제공하는 근로인 소정근로의 대가로 지급하기로 약정한 금품으로서 정기적·일률적·고정적으로 지급되는 임금을 말한다."
"이유","여기서 소정근로의 대가라 함은 근로자가 소정근로시간에 통상적으로 제공하기로 정한 근로에 관하여 사용자와 근로자가 지급하기로 약정한 금품을 말한다."
"이유","어떤 임금이 통상임금에 속하기 위해서는 그것이 일률적으로 지급되는 성질을 갖추어야 하는데, ‘일률적’으로 지급되는 것에는 ‘모든 근로자’에게 지급되는 것뿐만 아니라 ‘일정한 조건 또는 기준에 달한 모든 근로자’에게 지급되는 것도 포함된다."
"이유","이는 ‘근로자가 제공한 근로에 대하여 그 업적, 성과 기타의 추가적인 조건과 관계없이 당연히 지급될 것이 확정된 성질’을 말한다."
"이유","‘고정적인 임금’은 임금의 명칭 여하를 불문하고 임의의 날에 소정근로시간을 근무한 근로자가 그 다음 날 퇴직한다고 하더라도 그 하루의 근로에 대한 대가로 당연하고도 확정적으로 지급받게 되는 최소한의 임금을 말한다."
"이유","원심은 판시와 같은 사정을 들어 피고 보수규정 제23조가 정한 상여금은 정기적·일률적·고정적으로 근로자에게 지급되는 것으로서, 근로기준법에 의한 통상임금에 해당한다고 판단하였다."
"이유","원심판결 이유를 앞에서 본 법리에 비추어 살펴보면, 위와 같은 원심의 판단에 근로기준법상 통상임금에 관한 법리를 오해한 잘못이 없다."
"이유","사용자가 근로자에게 지급하는 금품이 임금에 해당하려면 먼저 그 금품이 근로의 대상으로 지급되는 것이어야 하므로 비록 그 금품이 계속적·정기적으로 지급된 것이라 하더라도 그것이 근로의 대상으로 지급된 것으로 볼 수 없다면 임금에 해당한다고 할 수 없다."
"이유","직원 전용 온라인 쇼핑사이트에서 물품을 구매하는 방식 등으로 사용할 수 있는 복지포인트를 단체협약·취업규칙 등에 근거하여 근로자들에게 계속적·정기적으로 배정한 경우, 이러한 복지포인트는 근로기준법에서 말하는 임금에 해당하지 않고, 그 결과 통상임금에도 해당하지 않는다."
"이유","원심은, 판시와 같은 이유를 들어 피고가 맞춤형 복지제도 운영지침에 따라 3급 이하 근로자에게 매년 일률적으로 배정해 온 기본 복지포인트는 통상임금에 해당한다고 판단하였다."
"이유","그러나 앞에서 본 법리에 비추어 살펴보면, 이러한 기본 복지포인트는 임금에 해당하지 않고, 결국 통상임금에도 해당하지 않는다."
"이유","그러므로 원심판결 중 피고 패소 부분을 파기하고, 이 부분 사건을 다시 심리·판단하도록 원심법원에 환송하기로 하여, 관여 대법관의 일치된 의견으로 주문과 같이 판결한다."
"이유","근로자가 소정근로시간을 초과하여 근로를 제공하거나 근로계약에서 제공하기로 정한 근로 외의 근로를 특별히 제공함으로써 사용자로부터 추가로 지급받는 임금이나 소정근로시간의 근로와는 관련 없이 지급받는 임금은 소정근로의 대가라 할 수 없으므로 통상임금에 속하지 아니한다."
"이유","따라서 근로자가 임의의 날에 소정근로를 제공하면 추가적인 조건의 충족 여부와 관계없이 당연히 지급될 것이 예정되어 지급 여부나 지급액이 사전에 확정된 임금은 고정성을 갖춘 것으로 볼 수 있다."
"이유","여기서 어떤 금품이 근로의 대상으로 지급된 것이냐를 판단함에 있어서는 그 금품지급의무의 발생이 근로제공과 직접적으로 관련되거나 그것과 밀접하게 관련된 것으로 볼 수 있어야 한다."
