"판시사항","사용자의 근로자에 대한 대출금채권을 임금채권에서 공제할 수 있도록 한 단체협약이 임금전액지급 원칙을 규정한 근로기준법 제42조 제1항 정신에 위배되어 무효인지 여부"
"이유","기록에 의하면, 소외 1이 피고의 직원으로 근무하다가 공금횡령으로 직무가 정지된 직후인 1998. 4. 30.경 피고에게 자신의 급료 및 퇴직금채권과 피고의 자신에 대한 원심판시의 대출원리금 등 채권을 서로 상계해 달라고 요청한 사실을 충분히 인정할 수 있다."
"이유","소외 1의 대출금 등 채무가 동일자로 변제된 것으로 처리·기재하였다면, 이는 피고의 소외 1에 대한 대출금 등 채권 49,758,473원과 소외 1의 피고에 대한 퇴직금 등 채권 중 44,991,183원을 대등액에서 상계한다는 상계의사표시에 해당한다고 할 것이다."
"이유","소외 1의 피고에 대한 퇴직금 등 채권 중 44,991,183원을 대등액에서 상계한다는 의사표시를 하였다.'고 판단한 것은 정당하고, 거기에 상고이유의 주장과 같은 상계의사표시의 방식에 관한 법리오해나 사실오인의 위법이 있다 할 수 없다."
"이유","소외 1에 대한 대출금 등 채권은 위 채권가압류결정이 피고에게 송달된 1998. 5. 8. 이전에 이미 이행기가 도래하였다."
"이유","소외 1의 피고에 대한 퇴직금 등 채권이 그 이후인 1998. 9. 1. 변제기가 도래한 이상, 제3채무자인 피고는 자동채권인 대출금 등 채권에 의한 상계로 가압류채권자인 원고에게 대항할 수 있다 할 것이다."
"이유","소외 1이 상계의사표시를 하였음을 전제로 원심의 판단을 비난하는 부분의 상고이유의 주장은 원심이 인정하지 아니한 사실을 전제로 원심의 판단을 탓하는 것이어서 그 이유가 없다."
"이유","근로기준법 제42조 제1항 본문은, '임금은 통화로 직접 근로자에게 그 전액을 지급하여야 한다.'고 규정하여 임금직접지급의 원칙을 천명하고 있으나, 그 단서에서 '법령 또는 단체협약에 특별한 규정이 있는 경우에는 임금의 일부를 공제하거나 또는 통화 이외의 것으로 지급할 수 있다'고 예외를 두고 있는 바이다."
"이유","단체협약은 노동조합이 사용자 또는 사용자 단체와 근로조건 기타 노사관계에서 발생하는 사항에 관하여 체결하는 협정으로서 사용자가 근로자의 집단적 의사결정 방법에 의한 동의를 얻지 아니한 채 기득 이익을 침해하는 방법으로 변경하는 것이 금지되어 있다."
"이유","원심은, 피고와 피고 회사 노동조합 사이에 체결된 단체협약 제39조는 조합원의 임금 중에서 피고의 대출원리금 등 채권과 신용협동조합의 대출원리금 등을 공제할 수 있도록 규정하고 있다."
"이유","소외 1은 피고 회사에서 퇴직할 당시의 직급이 '2급을'로서 노동조합의 조합원으로서 단체협약의 적용을 받으므로 피고의 소외 1에 대한 대출금 등 채권을 자동채권으로 하는 위 상계의사표시는 근로기준법 제42조 제1항 단서의 규정에 해당하여 허용된다고 판단하였는 바이다."
"이유","위에서 본 법리와 기록에 비추어 살펴보면, 원심의 사실인정 및 판단은 정당하고, 거기에 상고이유로 주장하는 법리오해나 사실오인, 판단유탈 등의 위법이 있다 할 수 없다."
"이유","그러므로 상고를 기각하고, 상고비용은 패소자가 부담하는 것으로 하여 관여 대법관의 일치된 의견으로 주문과 같이 판결한다."
