"판시사항","법원의 촉탁에 의하여 매립지가 공유로 보존등기된 경우, 장차 매립지를 단독 소유로 하기로 하는 약정이 있음을 이유로 합유등기로의 경정등기를 거부할 수 있는지 여부"
"판결요지","나아가 위 토지들이 장차 공동면허권자 각자의 단독 소유로 하기로 약정되어 있었다는 점만을 들어 합유임에도 불구하고 공유로 등기되어 있는 오류를 정정해 달라는 경정등기를 거부할 수는 없다."
"판결요지","공유수면매립권자들의 공동명의로 된 공유수면매립면허가 유효한 이상 면허권자들은 공동으로 당해 매립지 중 면허권자에게 귀속되는 토지의 소유권을 취득하게 되고, 나아가 공동면허권자가 공유수면매립법의 규정에 의하여 가지는 권리의무는 그들의 합유에 속한다고 할 것이므로 당해 토지들은 매립권자들이 합유로 취득한 것이 된다."
"판결요지","합유는 조합체의 해산 또는 합유물의 양도로 인하여 종료되는바, 매립공사의 준공인가가 남으로써 공동면허권자간의 조합이 해산되어 청산단계에 들어갔다고 하더라도 청산절차가 종료되기 전에는 그 목적범위 내에서 조합관계가 존속된다."
"판결요지","공동면허권자들이 관여하지도 아니한 법원의 촉탁등기에 의하여 토지들의 합유관계가 공유관계로 변경되었다고 할 수도 없으니, 따라서 여전히 합유관계에 있는 토지들에 관하여 경료된 공유의 소유권보존등기가 실체관계에 부합한다고 할 수 없다."
"이유","위 토지가 토지거래허가지역인 인천광역시에 편입되게 되어 행정절차상 번거로우니 이를 회피하기 위하여 공유수면매립면허권자에 자신을 편입시켜 달라는 요청을 받고, 1990. 5. 15. 이를 수락하면서 다시 위 양도약정의 내용을 확인하는 분할계약을 체결하였다."
"이유","위 인정 사실에 의하면 원고와 위 OOO은 형식상으로는 공동의 공유수면매립면허권자라 하더라도 상호 동일한 사업의 경영을 목적으로 한 조합관계를 이루고 있다고 할 수 없다."
"이유","원고는 위 OOO에게 그 권리를 취득하게 할 의무를 부담하는데 불과하므로 이 사건 토지들이 합유라는 주장은 이유 없다고 판시하였다."
"이유","나아가 공동면허권자가 공유수면매립법의 규정에 의하여 가지는 권리의무는 그들의 합유에 속한다고 할 것이므로 이 사건 토지들은 원고와 위 OOO이 합유로 취득한 것이라 할 것이다."
"이유","그 소유권보존등기는 위 분할계약에 따라 원고 또는 위 OOO에게 귀속될 공유지분의 범위 내에서는 결과적으로 위 분할계약이 이행된 것과 같은 상태가 되어 실체관계에 부합하는 유효한 등기라고 하지 않을 수 없으므로, 그 소유관계를 합유로 환원하는 경정등기를 구할 수 없다고 판시하였다."
"이유","매립공사의 준공인가가 남으로써 원고와 위 OOO간의 조합이 해산되어 청산단계에 들어갔다고 하더라도 청산절차가 종료되기 전에는 그 목적범위 내에서 조합관계가 존속되는 바이다."
"이유","원고와 위 OOO이 관여하지도 아니한 법원의 촉탁등기에 의하여 위 토지들의 합유관계가 공유관계로 변경되었다고 할 수도 없다."
"이유","따라서 여전히 합유관계에 있는 위 토지들에 관하여 경료된 공유의 소유권보존등기가 실체관계에 부합한다고 할 수 없다."
"이유","나아가 위 토지들이 장차 원고 또는 위 OOO의 단독 소유로 하기로 약정되어 있었다는 점만을 들어 합유임에도 공유로 등기되어 있는 오류를 정정해 달라는 경정등기를 거부할 수는 없다고 할 것이다."
"이유","따라서 이와 달리 판단한 원심판결에는 위와 같은 합유관계의 성립 및 존속이나 경정등기에 관한 법리를 오해하여 판결에 영향을 미친 위법이 있다고 할 것이다."
"이유","그러므로 원심판결을 파기하고, 사건을 다시 심리·판단케 하기 위하여 원심법원에 환송하기로 관여 법관의 의견이 일치되어 주문과 같이 판결한다."
