"판시사항","사용자가 자신의 귀책사유에 해당하는 경영상의 필요에 따라 개별 근로자들에 대하여 대기발령을 한 경우, 근로자들에게 휴업수당을 지급하여야 하는지 여부"
"판결요지","따라서 사용자가 자신의 귀책사유에 해당하는 경영상의 필요에 따라 개별 근로자들에 대하여 대기발령을 하였다면 이는 근로기준법 제46조 제1항에서 정한 휴업을 실시한 경우에 해당하므로 사용자는 그 근로자들에게 휴업수당을 지급할 의무가 있다."
"판결요지","채무자 회생 및 파산에 관한 법률 제179조 제1항 제10호는 “채무자의 근로자의 임금”을 공익채권으로 규정하고 있다."
"판결요지","임금이란 사용자가 근로의 대가로 근로자에게 임금, 봉급, 그 밖에 어떠한 명칭으로든지 지급하는 일체의 금품을 말한다."
"이유","근로자에 대한 대기발령의 정당성은 근로자에게 당해 대기발령 사유가 존재하는지 여부나 대기발령에 관한 절차규정의 위반 여부 및 그 정도에 의하여 판단하여야 한다."
"이유","원심판결 이유에 의하면, 원심은 그 판시와 같은 사실을 인정한 다음, OOO판매 주식회사가 원고들에 대하여 상당한 기간 동안 대기발령을 할 업무상 필요성이 있다고 볼 수 있다."
"이유","이 사건 대기발령이 사회통념상 합리성이 없을 정도로 부당하게 장기간 동안 유지되었다고 보기 어려운 사정을 인정할 수 있으므로, 이 사건 대기발령은 정당한 이유가 있어 유효하다고 판단하였다."
"이유","앞서 본 법리와 기록에 비추어 보면, 원심의 위와 같은 판단은 정당하고, 거기에 상고이유 주장과 같이 논리와 경험의 법칙을 위반하고 자유심증주의의 한계를 벗어나 사실을 잘못 인정하거나 대기발령의 정당성에 관한 법리를 오해한 위법이 없다."
"이유","이 사건 대기발령은 그 경위 등에 비추어 볼 때 OOO판매에 신의칙상 잠정적·예외적 조치로서 인정되는 것이어서 원고들이 위 인사규정의 경영 형편상 과원에 해당한다고 하더라도 인사대기자의 처우에 관한 규정은 원고들에게 적용되지 않는다고 봄이 상당하다고 판단하였다."
"이유","원심판결 이유를 기록에 비추어 보면, 원심의 위와 같은 판단은 정당하고, 거기에 상고이유 주장과 같이 논리와 경험의 법칙을 위반하고 자유심증주의의 한계를 벗어나 사실을 잘못 인정하거나 인사규정의 해석과 적용 범위에 관한 법리 등을 오해한 위법이 없다."
"이유","원심은 OOO판매가 2006. 1. 12. OOO판매 노동조합과 사이에 종전의 월차휴가제도를 고정연차휴가제도로 전환하기로 하면서 2005. 12.까지 발생한 월차휴가 미사용분에 대한 월차수당을 2006. 1. 지급하기로 하는 2005년 임·단협 합의를 한다."
"이유","이에 따라 2006. 1. 25. 원고들에게 2005년도 월차휴가 미사용분에 대한 월차수당을 일괄적으로 지급한 사실 등을 인정한 다음, 위 2005년도 월차수당 지급액은 이 사건 대기발령에 따른 휴업수당을 산정하는 데 기초가 되는 임금지급 대상기간의 임금과는 무관하다고 보아 이를 제외한다."
"이유","장학금은 OOO판매의 모든 근로자에게 일률적으로 지급하는 금전이 아니라, 근로자들의 개별적이고 우연한 특수한 사정에 따라 지급되는 복리후생적 성격의 금전이라는 이유로 이를 평균임금 산정의 기초가 되는 임금에서 제외하고, 교통비는 근로자가 영업활동에 소요되는 교통비를 먼저 지출하고 OOO판매가 이를 사후적으로 보전해주는 것이다."
"이유","통신비도 OOO판매가 근로자에게 업무용 휴대전화기를 지급하는 대신 근로자 개인이 보유한 휴대전화를 이용하여 영업활동을 하도록 하되, 업무상 사용한 휴대전화비용을 월 5만 원으로 간주하여 사후적으로 보전해주는 것이어서 모두 실비변상적 성격의 금전이라는 이유로 평균임금 산정의 기초가 되는 임금에서 제외하였다."
"이유","원심판결 이유를 기록에 비추어 보면, 원심의 위와 같은 판단은 정당하고, 거기에 상고이유 주장과 같이 근로기준법에서 정한 평균임금의 산정에 관한 법리를 오해한 위법이 없다."
"이유","근로자의 통상적인 생활임금을 사실대로 반영할 수 있는 합리적이고 타당한 다른 방법으로 그 평균임금을 따로 산정하여야 한다."
"이유","앞서 본 법리에 비추어 보면, 원심의 위와 같은 판단은 정당하고, 거기에 상고이유 주장과 같이 근로기준법에서 정한 휴업수당 산정방식에 관한 법리를 오해한 위법이 없다."
"이유","이 부분 상고이유 주장은 ‘종래 인사교류가 거의 없었던 사업부문의 경계에 따라 자연스럽게 회사를 분할하는 경우에는 근로자에게 승계 거부권이 인정되지 않는다’는 취지이나, 이는 원심이 판단하지 아니한 사항에 관한 주장으로서 적법한 상고이유가 되지 못한다."
"이유","근로기준법 제23조 제1항에서 정하는 ‘휴직’은 어떤 근로자를 그 직무에 종사하게 하는 것이 불가능하거나 적당하지 아니한 사유가 발생한 때에 그 근로자의 지위를 그대로 두면서 일정한 기간 그 직무에 종사하는 것을 금지시키는 사용자의 처분을 말하는 것이다."
"이유","OOO판매가 경영상의 이유로 이 사건 대기발령을 한 것을 불가항력에 해당한다고 보기 어렵다는 이유로, 피고는 원고들에게 적어도 휴업수당 상당액을 지급할 의무가 있다고 판단하였다."
"이유","원심판결 이유를 앞서 본 법리에 비추어 보면, 원심의 위와 같은 판단은 정당하고, 거기에 상고이유 주장과 같이 논리와 경험의 법칙을 위반하고 자유심증주의의 한계를 벗어나 사실을 잘못 인정하거나 근로기준법 제46조 제1항에서 정한 휴업수당에 관한 법리 등을 오해한 위법이 없다."
"이유","따라서 이 점을 지적하는 상고이유 주장은 이유 있고, 세금환불금이 포함되지 아니한 원고 72, 원고 10, 원고 18, 원고 23, 원고 53, 원고 79에 대한 상고이유 주장은 이유 없다."
"이유","근로기준법 제2조 제1항 제5호는 “임금이란 사용자가 근로의 대가로 근로자에게 임금, 봉급, 그 밖에 어떠한 명칭으로든지 지급하는 일체의 금품을 말한다.”라고 규정하고 있다."
"이유","근로자가 근로 제공의 의사가 있는데도 자신의 의사와 무관하게 근로를 제공하지 못하게 된 데 대한 대상으로 지급하는 것이라는 점에서 임금의 일종으로 보아야 하므로 휴업수당청구권은 채무자회생법에서 정한 공익채권에 해당한다."
"이유","이 부분 상고이유 주장은 휴업수당청구권이 회생채권에 불과하므로 회생채무자의 관리인인 피고에게 곧바로 그 지급을 명할 수 없다는 취지이나, 이는 위 법리와 다른 전제에 선 주장이므로 받아들이지 아니한다."
"이유","그렇다면 별지 원고 명단 (1), (2) 기재 원고들 중 원고 72, 원고 10, 원고 18, 원고 23, 원고 53, 원고 79를 제외한 나머지 원고들에 대한 원심판결 중 피고 패소 부분을 파기한다."
"이유","별지 원고 명단 (1), (3) 기재 원고들의 상고와 피고의 원고 72, 원고 10, 원고 18, 원고 23, 원고 53, 원고 79에 대한 상고를 모두 기각하기로 하여, 관여 대법관의 일치된 의견으로 주문과 같이 판결한다."
