"판시사항","교회의 예배당 건물과 그 부지를 소속교단 명의로 등기한 것이 소속교단에 대한 신표 등의 취지로써 한 것으로서 일종의 명의신탁에 해당한다고 본 사례"
"판결요지","또 일단 주무장관의 허가를 얻어 기본재산에 편입하여 정관 기재사항의 일부가 된 경우에는 비록 그것이 명의신탁관계에 있었던 것이라 하더라도 이것을 처분하는 것은 정관의 변경을 초래하는 점에 있어서는 다를 바 없으므로 주무장관의 허가 없이 이를 이전등기할 수는 없다."
"판결요지","소속교단의 규약에 가입과 징계에 관한 규정이 있을 뿐이고, 탈퇴에 관한 규정이 없더라도, 일반적으로 교회는 교인전원의 총의에 의하는 경우 소속교단의 변경이 가능하다."
"판결요지","교회의 예배당건물과 그 부지를 소속교단 명의로 등기한 것이 소속교단에 대한 신표 등의 취지로 한 것으로서 일종의 명의신탁에 해당한다고 본 사례."
"판결요지","재단법인의 기본재산에 관한 사항은 정관의 기재사항으로서 기본재산의 변경은 정관의 변경을 초래하기 때문에 주무장관의 허가를 받아야 한다."
"이유","원심이 원고교회가 피고에게 판시와 같은 경위로 이 사건 부동산을 명의신탁한 것이라고 인정한 것은, 이 사건 부동산에 관한 피고명의의 등기가 채권담보의 목적으로 한 것이라는 원고의 주장사실을 인정하지 아니하고 그렇게 한 것이라고 볼 것이다."
"이유","또 소론의 피고항쟁사실은 원고가 이 사건 부동산을 피고에게 명의신탁한 것이라는 원고의 주장사실을 적극적으로 부인하는 사유로써 주장한 것에 지나지 아니하는 것이다."
"이유","따라서 원심이 원고교회가 피고에게 이 사건 부동산을 명의신탁한 것이라고 인정함에 있어 소론의 피고주장을 따로 판단하여 배척하지 아니하였다고 하여 판단을 유탈한 것이라고 할 수 없고, 논지는 이유가 없다."
"이유","원심이 들고 있는 증거에 의하면 교회재산을 피고재단명의로 등기하지 못한 교회라 할지라도 기독교 OOO회에 가입하여 그 소속의 OOO교회가 될 수 있다."
"이유","원심이 인정한 사실에 의하면 원고는 그의 교회재산을 피고명의로 등기하였다는 것이므로, 원심이 1981년 제71차 총회에서 교회재산을 피고에게 등기하지 아니하더라도 회원으로 가입할 수 있다고 OOO회의 규약이 개정되었다고 인정한 것이 정당한 것인지의 여부는 이 사건 결과에 영향이 없다고 보아야 한다."
"이유","을 제3호증의 제22조에는 가입교회는 교회의 결의와 지방회의 인준을 거쳐 탈퇴할 수 있다고 규정되어 있었으나, 을 제10호증의 1에는 가입과 징계에 관한 규정이 있을 뿐이다."
"이유","그리고 원심이 인정한 바와 같이 OOO회는 교리를 같이하는 가입교회를 구성원으로 하는 종교단체이나 가입교회와의 사이에는 독립성을 보장하면서 별개의 단체로서 종교활동을 하고 있다."
"이유","한편 피고는 원고로부터 이 사건 부동산에 관한 등기를 경료받은 뒤 이를 재단의 기본재산으로 편입하기는 하였으나 원고가 이를 사용, 수익함에 대하여는 아무런 제한을 가하지 아니하여 원고교회가 종전대로 이 사건 부동산을 사용하여 온 것이다."
"이유","또는 OOO회의 가입회원으로서의 권리와 의무를 성실히 이행하고 OOO회의 설립목적에 어긋나는 행위를 하지 아니하겠다고 다짐하는 취지의 신표로서 한 것으로서 일종의 명의신탁에 해당한다고 본 원심의 판단은 정당하다고 보아야 할 것이다."
"이유","만일 그렇지 아니하면 원고교회는 OOO회로부터 탈퇴는 하면서도 그 존립의 기초가 되는 예배장소는 반환받지 못하는 결과가 되어 부당하며, 원고교회가 OOO회에 가입하면서 형식상 증여계약서를 작성하였다고 하여 이것만 가지고 위와 같은 사실인정이나 판단을 하는데 장애가 된다고 할 수는 없다."
"이유","그러나 재단법인의 기본재산에 관한 사항은 정관의 기재사항으로서 기본재산의 변경은 정관의 변경을 초래하기 때문에 주무장관의 허가를 받아야 한다."
"이유","따라서 기존의 기본재산을 처분하는 행위는 물론 새로이 기본재산으로 편입하는 행위도 주무장관의 허가가 있어야 유효한 것이다."
"이유","따라서 원심판결에는 기본재산의 변경에 관한 법리를 오해하여 심리를 미진한 위법이 있다고 할 것이고, 논지는 이 범위 안에서 이유있다."
"이유","부대상고는 본 상고가 계속되는 동안은 할 수 있다 할 것이나, 그 상고이유서 제출기간은 본 상고이유서 제출기간과 같다."
"이유","기록을 살펴보면 원고는 1990.10.17. 피고는 같은 해 10.18. 소송기록접수통지서를 송달받았고, 원고는 상고이유서 제출기간 내인 같은 해 10.23. 부대상고장을 제출하였으나 부대상고장에 부대상고 이유의 기재가 없다."
"이유","그렇다면 원고의 부대상고이유서는 그 제출기간이 도과된 것이므로 민사소송법 제399조에 의하여 부대상고이유에 대한 판단을 할 것이 기각되어야 할것이다."
"이유","그러므로 원심판결 중 피고패소부분을 파기하여 이 부분 사건을 원심법원에 환송하고, 원고의 부대상고는 기각하며 부대상고비용은 원고의 부담으로하여 관여법관의 일치된 의견으로 주문과 같이 판결한다."
