"판시사항","은행 외환계 대리가 상급자의 요청으로 고객 접대 자리에 참석하고 식사 후 고객의 제의로 당구장에 가던 중 교통사고를 당한 경우, 업무상 재해에 해당한다고 본 사례"
"판결요지","예금 업무와 직접 관련이 없는 외환계 대리가 은행 차장의 요청으로 고객 접대 자리에 참석하고 식사 후 고객의 제의로 당구장에 가던 중 교통사고를 당한 경우이다."
"판결요지","나아가 고객의 제의에 따라 식사 후 당구를 치기로 하면서 당구를 칠 줄 모르는 망인도 같이 가기로 하였다면 당구장에 가는 것도 고객을 접대하기 위한 것으로 보여지므로, 위 사고 당시 망인이 업무 수행중이었다고 볼 수 있다고 한 사례."
"이유","원심은 판시 증거에 의하여 피고 은행 독산동지점의 차장인 소외 1이 1995. 2. 22. 18:00경 위 지점에 약 1,500,000,000원의 예금을 하고 있던 소외 2의 방문을 받는다."
"이유","2,000,000,000원의 예금을 추가로 유치하기 위한 상담을 한 후 위 소외 2와 저녁 식사를 하기로 한다."
"이유","동인과 친분이 있는 위 지점 외환계 대리인 소외 3에게 같이 갈 것을 요청하여 같은 날 19:00경 위 3인이 함께 저녁 식사를 하게 되었으며, 식사시 위 소외 1은 위 소외 2에게 추가 예금을 빨리 추진해 달라고 부탁한 사실이다."
"이유","위 식사 도중 위 소외 2가 식사 후 당구를 치자고 하자 당구를 칠 줄 모르는 위 소외 3도 심판을 보기로 하여 함께 당구장에 가기로 약속한 다음 식사와 함께 업무 이야기를 마친다."
"이유","식당 맞은편에 있는 당구장으로 가기 위하여 같은 날 22:00경 신호등이 없는 횡단보도를 건너던 중 위 소외 3이 소외 4가 운전하는 오토바이에 치여 중증뇌좌상의 상해를 입고 같은 해 2. 7. 사망한 사실이다."
"이유","피고 은행은 예금의 유치를 위하여 특히 지점 차장에 대하여는 사무 업무를 줄이는 대신 적극적으로 고객과 인간적인 유대관계를 맺도록 지시하고 있으며, 평소 직원들로 하여금 다방면의 지식과 취미, 운동을 연마하도록 권장하고 있는 사실이다."
"이유","위 사실관계 특히 예금 유치와 고객 관리가 주된 업무인 위 소외 1의 요청에 의하여 망인이 그 자리에 동석하였다고 하더라도 예금과 관련된 고객의 접대는 외환계에 근무하는 망인으로서는 그 직무와 직접적인 관련은 없는 점이다."
"이유","통상적인 접대라고 할 수 있는 저녁 식사를 마친 다음에 다시 위 소외 1을 따라 당구장으로 가다가 위 사고가 발생한 점 등에 비추어 보면 위 당구장으로 가는 행위는 망인의 업무 수행의 범위를 벗어난 것이다."
"이유","따라서 그 과정에서 발생한 위 사고는 업무 수행 중 또는 업무 수행에 수반되는 활동 과정에서 발생한 업무상 재해라고 볼 수 없다고 판시하였다."
"이유","나아가 고객의 제의에 따라 식사 후 당구를 치기로 하면서 당구를 칠 줄 모르는 망인도 같이 가기로 하였다면 당구장에 가는 것도 고객을 접대하기 위한 것으로 보여지므로, 위 사고 당시 망인이 업무 수행중이었다고 못 볼 바 아니다."
"이유","그렇다면 이와 달리 판단한 원심판결에는 업무상 재해에 관한 법리를 오해하여 판결에 영향을 미친 위법이 있다고 할 것이므로, 이 점을 지적하는 상고이유는 옳다."
"이유","그러므로 원심판결을 파기하고, 사건을 다시 심리·판단하게 하기 위하여 원심법원에 환송하기로 관여 법관의 의견이 일치되어 주문과 같이 판결한다."
