"판결요지","국유재산이 일단 공용재산이 된 이상 그 용도에 공여되지 않는 상태에 놓여 있는 사실만으로는 관리청의 그에 대한 용도폐지의 의사표시가 있었던 것으로 볼 수 없다."
"이유","원심이 인용한 제1심판결 이유에 의하면, 제1심은, 부산 동래구  잡종지 4,176㎡는 피고 소유로 등기된 토지인데 그 중 청구취지 기재 부분 192㎡ 지상에는 1941. 4. 1.자로 소외 1 명의로 등록된 미등기 건물이 축조되어 있었다."
"이유","그 후 소외 2가 그 곳에서 거주하다가 1968. 6. 15. 소외 3에게 매도하고 동인이 그 곳에서 살다가 1973. 10. 5. 이를 다시 원고에게 매도함으로써 그 때부터 원고가 위 주택에 입주하여 현재까지 계쟁 부분을 점유·사용하고 있는 사실을 인정한다."
"이유","원고는 이 사건 계쟁 부분이 국유재산 중 잡종재산으로서 위 소외 3의 점유를 승계하여 소외 3이 점유를 시작한 1968. 6. 15.부터 20년이 경과한 1988. 6. 14. 취득시효가 완성되었다고 주장하여 피고에게 그 소유권이전등기를 구한다."
"이유","피고는 이 사건 계쟁 부분은 행정재산이므로 시효취득의 대상이 될 수 없다고 주장함에 대하여, 그 판시 증거에 의하여 이 사건 토지는 원래 부산 동래구에 포함되었다가 OOO으로 분할되었다."
"이유","해방 후 소외 2가 농지분배를 받아 1959. 9. 26. 상환완료를 원인으로 같은 해 10. 12. 그의 명의로 소유권이전등기가 경료되었다."
"이유","1993. 3. 11.에 이르러 위 국방부를 관리청으로 한 피고 명의의 소유권이전등기를 신청 착오를 원인으로 말소한다."
"이유","관리청을 철도청으로 하여 1948. 9. 11. 권리귀속을 원인으로 한 소유권이전등기를 피고 명의로 마친 사실, 피고가 이 사건 토지를 위 소외 2로부터 특별조치법에 의거하여 매수할 당시 이 사건 토지는 군부대의 부지로 사용하기 위하여 이를 매수하였다."
"이유","1984. 3. 10. 군부대가 위치한 부분과 주변의 국유토지들을 모두 위 번지 179,860㎡로 합필하여 그 대부분을 군부대의 부지로 사용하여 왔고 이 사건 토지도 그에 포함되었다."
"이유","최소한 위 1971. 6. 30. 이후부터는 이 사건 토지가 시효취득의 대상이 될 수 없다는 이유로 원고의 청구를 배척하였다."
"이유","국유재산법 제4조 제2항에 의하면 '행정재산'에는 공용재산, 공공용재산, 기업용재산이 있는데, 이 사건에서 쟁점이 된 군부대 주둔지는 공용재산에 해당하는지 여부가 문제로 된다고 할 것인 바이다."
"이유","같은 항 제1호는 공용재산이란 '국가가 직접 그 사무용·사업용 또는 공무원의 주거용으로 사용하거나 사용하기로 결정한 재산'이라고 정의하고 있다."
"이유","국유재산법시행령 제2조 제1항은 법 제4조 제2항 각호에서 '사용하기로 결정한 재산'이라 함은 국가가 앞으로 1년 내에 사용하기로 결정한 재산을 말한다고 규정하고 있다."
"이유","같은 취지로 판시한 제1심판결을 인용한 원심판결은 정당하고 행정재산에 관한 법리오해의 위법을 저질렀다고 할 수 없다."
"이유","그러므로 상고를 기각하고 상고비용은 패소자의 부담으로 하기로 하여 관여 법관의 일치된 의견으로 주문과 같이 판결한다."
