"판시사항","말소등기의 등기원인이 된 법률행위가 사기에 의한 의사표시로서 취소된 경우, 말소된 등기가 말소회복등기의 대상인 부적법하게 말소된 등기에 해당하는지 여부"
"이유","부동산등기법 제59조 소정의 말소회복등기는 어떤 등기가 부적법하게 말소된 경우에 그 말소된 등기를 회복함으로써 말소 당시에 소급하여 말소가 되지 않았던 것과 같은 효과를 생기게 하는 등기를 말한다."
"이유","부적법하게 말소된 등기에는 말소등기의 등기원인의 무효나 취소 등과 같은 실체적 이유에 기한 것도 포함되므로 말소등기의 등기원인이 된 법률행위가 사기에 의한 의사표시로서 취소된 경우도 말소회복등기의 대상인 부적법하게 말소된 등기에 해당한다."
"이유","원심판결 이유에 의하면, 원심은, 원고의 이 사건 청구원인, 즉 원고가 이 사건 가등기를 말소해 주면 사업지를 조성하여 분배해 주겠다는 피고 회사의 기망행위에 속아 피고 회사에게 가등기말소를 위한 서류를 교부함으로써 이 사건 가등기가 2007. 7. 6.자 해제를 원인으로 말소되었는바이다."
"이유","즉 원심 판시의 인정 사실에 의하면 원고는 피고 회사로부터 사업지 필지 지정을 받기 위하여 이 사건 가등기를 말소해 줄 의사가 있었다."
"이유","그러나 원심판결 이유와 기록에 의하면, 원고가 그 판시와 같은 경위로 피고 회사에게 가등기말소를 위한 서류를 교부함으로써 이 사건 가등기가 원고와 피고 회사의 공동신청에 의해 2007. 7. 6. 해제를 원인으로 말소된 사실을 알 수 있는바이다."
"이유","앞서 본 법리에 비추어 볼 때, 원고와 피고 회사의 위 2007. 7. 6.자 가등기해제약정이 피고 회사의 사기에 의한 의사표시를 이유로 적법하게 취소되었다면 이 사건 가등기 말소등기는 그 등기원인이 무효로 되어 말소회복등기의 대상이 되는 부적법한 말소등기에 해당한다고 보아야 한다."
"이유","한편 피고 정선군은 원고가 사기에 의한 의사표시로서 취소를 주장하는 원고와 피고 회사 사이의 위 가등기해제약정의 당사자가 아니므로 민법 제110조 제2항의 제3자의 사기에 의한 의사표시의 상대방에 해당하지 아니한다."
"이유","이 사건 가등기 말소등기 당시 이 사건 부동산의 소유자일 뿐 위 가등기해제약정 및 그에 따른 가등기말소를 기초로 하여 새로운 법률원인으로써 이해관계를 맺은 제3자가 아니므로 민법 제110조 제3항의 제3자에도 해당하지 아니한다."
"이유","이 부분 사건을 다시 심리·판단하게 하기 위하여 원심법원에 환송하며, 원고의 피고 회사에 대한 상고를 기각한다."
"이유","상고비용 중 피고 회사에 대한 상고로 인한 부분은 패소자가 부담하기로 하여, 관여 대법관의 일치된 의견으로 주문과 같이 판결한다."
