"판시사항","종전 두 번의 총장선임절차에서 교수평의회가 추천한 후보자가 각 총장으로 선임된 경우, 교수들에게 학교법인의 총장선임행위의 효력을 다툴 확인의 이익이 있는지 여부"
"이유","거기에 소론과 같이 사립대학 총장임용권의 본질을 오해하고 대학교수의 인사 자주결정권을 침해하는 법률해석을 한 위법이 있다고 할 수 없다."
"이유","또는 위 사립학교법 규정은 국·공립대학 교수들에게 인정되는 총장후보자 추천권과의 균형상 헌법상의 평등의 원칙에 반한다는 취지의 소론은 모두 독자적 견해로서 받아들일 수 없다."
"이유","가능한 한 많은 사람들의 의견을 모아 가장 훌륭한 인물을 총장으로 선임하기 위한 사실상의 절차에 불과할 뿐 법령 또는 피고 법인 정관에 근거를 둔 것이 아니다."
"이유","위 두 번의 총장선임절차에서 교수평의회가 추천한 후보자 중 1인이 각 총장으로 선임된 사실은 우연한 사실에 지나지 아니한다."
"이유","사정이 이와 같다면 이 사건 총장선임은 어디까지나 피고 법인의 권한에 속하는 것이고 연세대학교 교수들은 교수평의회의 구성원으로서 총장후보자 선출에 참여하는 단순히 사실상, 간접적인 이해관계를 가질 뿐이므로 원고들은 피고 법인의 총장선임행위의 효력을 다툴 적격 내지 확인의 이익이 있다고 할 수 없다."
"이유","원심이, 피고 송자의 교수자격의 존부는 연세대학교를 포함한 대한민국 사립대학의 교수로 임용되기 위한 전제조건으로서 구체적인 권리 또는 법률관계의 발생을 위한 추상적인 지위 내지 사실관계에 불과하다."
"이유","원고들에게 피고 송자의 교수자격의 존부의 확인을 구할 아무런 법률상의 이익도 없을 뿐만 아니라 피고 송자 역시 원고들에 대하여 위와 같은 확인을 해 줄 법률상 지위에 있지도 아니하므로 원고들이 피고 송자를 상대로 이와 같은 확인을 구할 수는 없는 것이다."
"이유","또 피고 송자를 상대로 그러한 확인판결을 받아본들 아무런 실익도 없다는 이유로 원고들의 피고 송자에 대한 이 사건 교수자격 부존재확인의 소 또한 부적법하다고 판단하였음은 옳다."
"이유","외국인은 법령 또는 조약에 의하여 금지된 경우를 제외하고는 우리 나라에서 내국인과 마찬가지로 사권을 향유할 수 있다."
"이유","한편 사립대학 교원의 임용을 위한 계약의 법적 성질은 국·공립대학의 교원의 임용과는 달리 사법상의 고용계약에 다름 아니므로, 사립대학이 외국인을 포함하여 누구를 교원으로 임용할 것인지 여부는 원칙적으로 당해 학교법인의 자유의사 내지 판단에 달려 있다 할 것이다."
"이유","사립대학도 공교육의 일익을 담당하고 있고 그 교원의 직무가 공공성을 가지는 점에서 국가가 법률에 의하여 외국인의 사립대학교수 임용에 제한을 가할 수 있다 할 것이나, 현행 교육법이나 사립학교법 기타 관계법령 어디에도 외국인은 사립대학의 교원이 될 수 없다는 명문의 제한은 존재하지 않다."
"이유","나아가 소론이 지적하는 법 규정들이 외국인의 사립대학교수 임용 제한의 근거로 볼 수 있다고 해석되지도 아니한다."
"이유","교육공무원법 제31조 제1항에 초빙교원 제도가 마련되어 있다 하여 외국인의 사립대학 교원임용이 허용되지 않는다고 보기도 어렵다 할 것이다."
"이유","원심이 확정하고 있는 바와 같이 피고 법인이 그 정관에 특별히 외국인은 교수나 총장이 될 수 없다는 제한을 두고 있지 않다면 피고 2가 대한민국 국적을 갖지 못하였다 하여 연세대학교의 교수나 총장이 될 수 없는 것은 아니라 할 것이다."
"이유","이에 상고를 모두 기각하고 상고비용은 패소한 원고들의 부담으로 하기로 관여 법관의 의견이 일치되어 주문과 같이 판결한다."
