"판시사항","사업지구 내에 개설예정인 폭 20미터 미만의 도시계획예정도로로 분리된 일단의 토지가 구 주택건설촉진법 시행령 제3조 소정의 ‘주택단지’에 해당하는지 여부"
"이유","여기서 ‘간선시설’의 정의에 관하여 주촉법 제3조 제8호는 ‘도로·상하수도·전기시설·가스시설·통신시설 및 지역난방시설등 주택단지 안의 기간시설과 그 기간시설을 당해 주택단지 밖에 있는 동종의 기간시설에 연결시키는 시설을 말한다."
"이유","개정 전 주촉법 시행령 제3조가 ‘법 제33조의 규정에 의한 주택건설사업계획 또는 대지조성사업계획의 승인을 얻어 주택과 부대시설 및 복리시설을 건설하거나 대지를 조성하는 일단의 토지를 말한다."
"이유","다만, 철도·고속도로·자동차전용도로·기간도로·폭 20미터 이상인 일반도로기타 이와 유사한 시설로 분리된 토지는 이를 각각 별개의 주택단지로 본다.’라고 규정함으로써 ‘철도·고속도로·자동차전용도로·기간도로·폭 20미터 이상인 일반도로 기타 이와 유사한 시설로 분리’되었는지 여부에 따라 하나의 사업지구 안에 수 개의 주택단지가 존재할 수 있게 되었다."
"이유","그 후 1999. 4. 30. 대통령령 제16283호로 개정·시행된 구 주촉법 시행령 제3조는 ‘법 제33조의 규정에 의한 주택건설사업계획 또는 대지조성사업계획의 승인을 얻어 주택과 부대시설 및 복리시설을 건설하거나 대지를 조성하는 일단의 토지를 말한다."
"이유","다만, 철도·고속도로·자동차전용도로·기간도로, 폭 20미터 이상인 일반도로, 폭 8미터 이상인 도시계획예정도로 기타 이와 유사한 시설로 분리된 토지는 이를 각각 별개의 주택단지로 본다.’라고 규정함으로써 주택단지를 구획하는 도로의 범위를 다소 넓힌 것으로 보여진다."
"이유","그 밖에 함께 규정된 철도·고속도로·자동차전용도로·기간도로 등은 모두 사업지구 내에 이미 개설된 것만을 의미하는 것으로 보아야 할 것인 바이다."
"이유","그렇다면 사업지구 내에 개설예정인 폭 20미터 미만의 도시계획예정도로로 분리된 일단의 토지들은, 그 개설 예정인 도로가 그 기능별 구분에 의할 때 위 개정 전 주촉법 시행령 제3조의 ‘기간도로’에 해당한다 하여도,개정 전 주촉법 시행령 제3조 소정의 ‘주택단지’로는 볼 수 없다 할 것이다."
"이유","개정 전 주촉법 시행령 제3조 단서 및 시행규칙 제2조 제1호의 해석을 그르친 잘못이 있다 할 것이고, 이 점을 지적하는 상고이유의 주장은 이유 있다."
"이유","전기간선시설의 지중설치는 도시환경 및 도시미관의 개선효과 등의 장점에도 불구하고 그 혜택의 범위는 주로 그 주택단지 안에서 생활하는 주민들로 한정되는 반면, 그 설치비용은 가공설치비용에 비하여 많게는 10배 가까이 더 소요된다."
"이유","전기요금의 과금체계상 지중화 지역과 비지중화 지역의 전기공급가격을 차등화 하는 것은 불가능에 가까운 것이 현실인 바이다."
"이유","결국 지중설치 여부 및 그 비용의 귀속은 위와 같은 제반 사정과 지중화의 진척 정도 및 설치·관리기술의 발달 정도에 따라 입법자가 선택할 문제라 할 것이다."
"이유","그러므로 살피건대, 간선시설의 설치의무 및 비용부담에 관한 주촉법 제36조 제1, 3항의 규정은 주촉법이 1981. 4. 7. 법률 제3420호로 개정된 당시부터 존치된 규정들로서, 전기간선시설 설치의무가 인정되는 주택 혹은 단지의 기준과 그 지역적 설치범위에 관하여만 규정하고 있을 뿐이다."
"이유","그 제23조 제5항의 위임에 의한 구 주택법 시행령 제24조 제4항 및 [별표 2] 제3호는 전기간선시설의 설치범위에 관하여, 원칙적으로 ‘주택단지 밖의 기간이 되는 시설로부터 주택단지의 경계선까지’이나,다만 지중선로는 ‘사업지구 밖의 기간이 되는 시설로부터 그 사업지구 안의 가장 가까운 주택단지의 경계선까지’로 규정하였는 바이다."
"이유","이에 의하면 지중설치의 경우, 사업지구 안의 가장 가까운 주택단지의 경계선까지만 피고측에 그 설치의무가 있고 비용도 그 범위 내에서만 부담하는 것으로 해석된다."
"이유","반대해석에 의할 때 거기서부터 개별 주택단지까지의 지중설치비용은 사업주체가 부담하는 것으로 해석할 여지가 크다 할 것이다."
"이유","나아가 2007. 1. 11. 법률 제8239호로 개정된 주택법 제23조 제4항은 ‘제3항의 규정에 불구하고 제1항의 전기간선시설을 지중선로로 설치하는 경우에는 전기를 공급하는 자와 지중에 설치할 것을 요청하는 자가 각각 100분의 50의 비율로 그 설치비용을 부담한다."
