"판시사항","고용계약에 의하여 지방자치단체의 잡급직원 등으로 근무하다가 퇴직하고 그 다음날 지방공무원법에 의한 고용직공무원으로 임용된 경우, 고용관계가 계속된 것으로 볼 수 있는지 여부"
"판결요지","잡급직원으로서의 고용관계는 그 퇴직한 날 종료된 것으로 보아야 하며, 잡급직원으로 근무한 기간 동안의 퇴직금은 그 퇴직할 당시의 임금을 기준으로 산정하여야 한다."
"이유","원고는 퇴직 당시 고용직공무원으로 임용된 1980. 1. 1.부터 퇴직시인 1998. 12. 31.까지의 기간에 대해서는 공무원연금법이 정한 퇴직급여를 지급받았으나 잡급직원으로 근무한 1978. 10. 1.부터 1979. 12. 31.까지의 기간에 대하여는 퇴직금을 지급받지 못한 사실을 인정한다."
"이유","형식적으로는 잡급직원으로서의 근로관계가 종료된 것으로 처리되었다고 하더라도 원고가 고용직공무원으로 임용된 뒤에도 부산광역시 및 피고에게 같은 성질의 근로를 계속 제공함으로써 원고와 OOO광역시 및 피고 사이의 근로관계는 단절 없이 계속되었다고 할 것이다."
"이유","피고는 원고에게 잡급직원으로 근무한 기간에 대하여도 근로기준법이 정하는 바에 따라 계속근로연수 1년에 대하여 정년퇴직 당시의 평균임금 30일분을 그 퇴직금으로 지급할 의무가 있다고 판단한다."
"이유","피고의 다음과 같은 주장, 즉 원고가 잡급직원으로 근무하다가 1979. 12. 31. 퇴직하였으므로 잡급직 근무기간에 대한 퇴직금청구권은 그 무렵 발생하였다."
"이유","원고와 OOO광역시 및 피고 사이의 근로관계가 계속된 이상 원고가 청구하는 퇴직금이 잡급직으로 근무한 기간에 대한 것이라고 하더라도 그 청구권은 원고와 피고 사이의 근로관계가 최종적으로 종료된 위 정년퇴직일에 비로소 발생한다고 보아야 한다는 이유로 이를 배척하였다."
"이유","고용계약에 의하여 지방자치단체의 잡급직원 등으로 근무하다가 퇴직하고 그 다음날 지방공무원법에 의한 고용직공무원으로 임용된 경우에 양자는 신분상 관계가 판이하여 그 고용관계가 계속된 것으로 볼 수 없다."
"이유","잡급직원으로서의 고용관계는 그 퇴직한 날 종료된 것으로 보아야 하며, 잡급직원으로 근무한 기간 동안의 퇴직금은 그 퇴직할 당시의 임금을 기준으로 산정하여야 한다는 것이 당원의 견해이다."
"이유","따라서 위 판례에 의하면, 원심 인정대로 원고가 잡급직원으로 고용되어 근무하다가 퇴직하고 곧바로 고용직공무원으로 임용되었다면 잡급직의 퇴직과 정식공무원으로서의 임명이 앞뒷날 있었다."
"이유","그러므로, 다른 상고이유에 나아가 판단할 필요 없이 원심판결을 파기하고, 사건을 다시 심리·판단하게 하기 위하여 원심법원에 환송하기로 하여 관여 대법관의 일치된 의견으로 주문과 같이 판결한다."
