"판시사항","주택조합의 조합장 업무를 포괄적으로 위임받은 수임인과 조합원 가입계약을 체결한 주택조합 가입자의 조합원 지위를 인정하지 아니한 사례"
"판결요지","비법인사단 대표자가 행한 타인에 대한 업무의 포괄적 위임과 그에 따른 포괄적 수임인의 대행행위는 민법 제62조의 규정에 위반된 것이어서 비법인사단에 대하여는 그 효력이 미치지 아니한다."
"판결요지","그 주택조합의 조합장을 통하여 포괄적 수임인에게 부담금을 납부하고 주택조합의 조합장 명의로 된 조합원 인증서를 교부받았다고 하더라도 주택조합의 조합원으로서의 자격을 얻었다고 볼 수는 없다고 본 사례."
"이유","1992. 12. 8. 법률 제4530호로 개정되기 전의 주택건설촉진법에 의한 주택조합의 법률적인 성질은 민법상의 조합이 아니라 비법인사단에 해당한다."
"이유","민법 제62조의 규정에 비추어 보면, 비법인사단의 대표자는 정관 또는 총회의 결의로 금지하지 아니한 사항에 한하여 타인으로 하여금 특정한 행위를 대리하게 할 수 있을 뿐, 비법인사단의 제반 업무처리를 포괄적으로 위임할 수는 없다고 할 것이다."
"이유","소외 1은 피고 좌천 2동 810번지 지역주택조합 결성 당시부터 그 업무에 깊이 관여하여 사실상 피고 조합의 업무를 주도하여 오다가 소외 2가 조합장으로 선출된 후에는 그로부터 조합장으로서의 권한을 포괄적으로 위임받아 위 소외 2를 대신하여 실질적으로 조합장으로서의 모든 권한을 행사한 사실이다."
"이유","위 소외 1은 피고 조합 이외에도 ○○동 지역주택조합을 결성하여 위 조합으로부터도 조합업무를 위임받아 처리하면서, 조합원의 모집, 시공자의 선정, 조합주택의 분양 등 업무수행의 편의를 위하여 1989. 11.경 소외 주식회사를 설립하고 자신이 대표이사로 된 사실이다."
"이유","위 소외 1과 소외 회사는 피고 조합에서 탈퇴한 조합원의 자리를 채운다는 명목으로 멋대로 피고 조합이 인가받은 조합원 수보다 훨씬 많은 약 1,243명의 조합원을 모집한다."
"이유","그 와중에 원고들은 위 소외 2로부터 피고 조합에 가입할 것을 권유받아 1990. 2. 2.부터 같은 해 12. 31.까지 사이에 부산 동구 소재 △△빌딩 3층에 마련되어 있는 소외 회사의 분양대행 사무실에서 분담금을 납부한 뒤 조합원 인증서를 교부받은 사실이다."
"이유","한편 피고 조합의 규약에는 조합장이 조합을 대표하고 제반 조합업무를 관장하도록 되어 있음에도 불구하고, 조합장인 위 소외 2는 조합장의 직인까지 위 소외 1에게 맡기면서 그에게 조합업무 일체를 포괄적으로 위임한다."
"이유","원고들이 위 OOO로부터 조합장의 업무를 포괄적으로 위임받은 위 OOO과 피고 조합의 조합원으로 가입하는 계약을 체결한다."
"이유","이를 기록과 대조하여 살펴보면, 원심의 위와 같은 사실인정과 판단은 옳다고 여겨지고, 거기에 상고이유의 주장과 같은 채증법칙을 위배하여 사실을 오인한 위법이나 법률행위의 대리 또는 사자의 행위 등에 관한 법리오해의 위법이 있다고 할 수 없다."
"이유","그리고 원심이 적법하게 확정한 사실과 기록에 의하여 인정되는 바와 같이 위 소외 2가 조합장으로서의 모든 권한을 위 소외 1에게 포괄적으로 위임한 뒤 그에게 원고들을 소개하여 주면서 원고들로부터 소개료를 교부받기까지 한 점이다."
"이유","위 소외 1의 행위는 본인의 의사표시를 완성하기 위한 표시기관으로서의 사자의 행위 또는 사실상의 업무대행에 불과하다거나, 원고들은 어디까지나 피고 조합의 조합장인 위 소외 2와 이 사건 계약을 체결한 것이라는 상고이유의 주장은 받아들일 수가 없다."
"이유","그러므로 상고를 모두 기각하고 상고비용은 패소자들의 부담으로 하기로 관여 법관들의 의견이 일치되어 주문과 같이 판결한다."
