"판시사항","주택임대차의 대항요건이 존속되는 한 임차인은 보증금반환채권을 양수한 금융기관이 보증금 잔액을 반환받을 때까지 임차주택의 양수인을 상대로 임대차관계의 존속을 주장할 수 있는지 여부"
"판결요지","따라서 주택임대차의 대항요건이 존속되는 한 임차인은 보증금반환채권을 양수한 금융기관이 보증금 잔액을 반환받을 때까지 임차주택의 양수인을 상대로 임대차관계의 존속을 주장할 수 있다."
"판결요지","주택임차인은 주택임대차보호법 제3조 제1항에서 정한 주택의 인도와 주민등록을 구비하면 대항력을 취득하고 대항요건이 존속되는 한 대항력은 계속 유지된다."
"판결요지","임차인이 대항력을 구비한 후 임차주택을 양수한 자는 그와 같이 존속되는 임대차의 임대인 지위를 당연히 승계한다."
"판결요지","이는 주택임대차보호법 제3조의2 제7항에서 정한 금융기관이 임차인으로부터 보증금반환채권을 계약으로 양수함으로써 양수한 금액의 범위에서 우선변제권을 승계한 다음 경매절차에서 배당요구를 하여 보증금 중 일부를 배당받은 경우에도 마찬가지이다."
"이유","임차인이 대항력을 구비한 후 임차주택을 양수한 자는 그와 같이 존속되는 임대차의 임대인 지위를 당연히 승계한다."
"이유","따라서 주택임대차의 대항요건이 존속되는 한 임차인은 보증금반환채권을 양수한 금융기관이 보증금 잔액을 반환받을 때까지 임차주택의 양수인을 상대로 임대차관계의 존속을 주장할 수 있다."
"이유","원심은 판시와 같은 이유로, 임차인 소외인이 이 사건 주택에 대한 대항력을 취득한 이후 이 사건 전세계약보증금 반환채권을 양수한 원고가 경매절차에서 우선변제권에 따른 배당요구를 하여 보증금 중 일부를 배당받았다 하더라도 현재까지 임차인 소외인의 대항력이 여전히 유지되고 있다고 판단하였다."
"이유","거기에 상고이유 주장과 같이 주택임대차보호법 제3조 제4항, 제3조의5 등에 관한 법리를 오해하는 등으로 판결에 영향을 미친 잘못이 없다."
"이유","원심은 판시와 같은 이유로, 피고들은 공동하여 이 사건 전세계약보증금 반환채무를 대위변제한 원고에게 원고가 대위변제한 금원 및 이에 대한 지연손해금을 지급할 의무가 있다고 판단하였다."
"이유","원심판결 이유를 관련 법리와 기록에 비추어 살펴보면, 원심의 이유 설시에 충분하지 않은 부분이 있으나 원고가 대위변제한 금원 상당의 지급 청구를 인용한 결론은 정당하다."
"이유","거기에 상고이유 주장과 같이 변제자대위, 주택임대차보증금반환채권을 양수한 금융기관의 지위 등에 관한 법리를 오해하는 등으로 판결에 영향을 미친 잘못이 없다."
"이유","그러므로 상고를 모두 기각하고 상고비용은 패소자가 부담하도록 하여, 관여 대법관들의 일치된 의견으로 주문과 같이 판결한다."
"이유","주택임차인은 주택임대차보호법 제3조 제1항에서 정한 주택의 인도와 주민등록을 구비하면 대항력을 취득하고 위 대항요건이 존속되는 한 그 대항력은 계속 유지된다."
"이유","이는 주택임대차보호법 제3조의2 제7항에서 정한 금융기관이 임차인으로부터 보증금반환채권을 계약으로 양수함으로써 양수한 금액의 범위에서 우선변제권을 승계한 다음 경매절차에서 배당요구를 하여 보증금 중 일부를 배당받은 경우에도 마찬가지이다."
