"판시사항","대항력과 우선변제권을 겸유하고 있는 임차인이 보증금 전액을 배당받지 못한 경우 경락인에게 대항할 수 있는 보증금 잔액의 범위"
"판결요지","따라서 임차인이 배당받을 수 있었던 금액이 현실로 배당받은 금액보다 많은 경우에는 임차인이 그 차액에 관하여는 과다 배당받은 후순위 배당채권자를 상대로 부당이득의 반환을 구하는 것은 별론으로 하고 경락인을 상대로 그 반환을 구할 수는 없다고 할 것이다."
"판결요지","여기서 경락인에게 대항할 수 있는 보증금잔액은 보증금 중 경매절차에서 올바른 배당순위에 따른 배당이 실시될 경우의 배당액을 공제한 나머지 금액을 의미하는 것이지 임차인이 배당절차에서 현실로 배당받은 금액을 공제한 나머지 금액을 의미하는 것은 아니라 할 것이다."
"이유","그 후 1996. 8. 5. 이 사건 건물에 관하여 위 소외인 명의의 소유권보존등기가 경료되는 한편, 같은 날 근저당권자를 주식회사 OOO신용금고, 채무자를 위 소외인, 채권최고액을 금 86,800,000원 및 금 53,200,000원으로 하는 2개의 근저당권설정등기가 각 경료되었다."
"이유","경매법원은 그 배당기일인 1999. 5. 27. 피고에게 5순위 배당채권자로서 금 18,117,556원을 배당하는 내용의 배당표를 작성하였는데 이에 대하여 피고가 출석하지 아니한 채 배당이의를 제기하지 아니하여 그대로 확정되었다."
"이유","원고가 피고에게 일단 보증금 잔액을 반환한 다음 위법하게 과다 배당받은 자를 상대로 피고의 권리를 대위행사 할 수 있음은 별론으로 하고 피고가 배당에 이의하지 아니하였다고 하여 곧바로 이를 피고의 손실로 귀속시킬 수는 없다는 이유로 이를 배척하였다."
"이유","그런데 기록에 의하면, 이 사건 경매목적물에는 이 사건 건물 이외에 그 부지인 이 사건 토지가 있다."
"이유","결과적으로 피고가 현실로 배당받은 금액이 정당하게 배당받아야 할 금액보다 훨씬 적게 되었음을 쉽게 엿볼 수 있다."
"이유","기록에 의하면 피고는 상고소송기록 접수통지서가 상고인인 원고에게 송달된 2000. 6. 24.로부터 20일이 지난 2000. 7. 22. 부대상고를 제기하였음이 명백하므로 피고의 이 사건 부대상고는 부적법한 것으로서 그 흠결을 보정할 수 없는 것이다."
"이유","피고의 부대상고는 각하하고 부대상고비용은 피고의 부담으로 하기로 하여 관여 대법관의 일치된 의견으로 주문과 같이 판결한다."
"이유","이 사건과 같은 사실관계하에서 이 사건 배당표의 기재처럼 소액임차인들이 토지대금에 대하여까지 최우선 배당을 받을 수 있는지도 따져보아야 할 것이다."
