"판시사항","점유자가 점유 개시 당시 소유권 취득의 원인이 될 수 있는 법률요건이 없다는 사실을 알면서 타인 소유의 부동산을 무단점유한 경우, 자주점유 추정의 번복 가부"
"판결요지","타주점유의 경우 점유자가 새로운 권원에 기하여 소유의 의사를 가지고 점유를 시작하거나 또는 소유의 의사가 있음을 표시함으로써 일단 시작된 타주점유가 중도에 자주점유로 전환되지 않고서는 그 점유기간 동안 계속하여 타주점유의 상태에 있다고 보아야 한다."
"판결요지","환지처분이 있는 경우에는 그것이 제자리환지라고 할지라도 종전 토지는 환지로 인하여 전체 토지의 지적·모양 및 위치에 변동이 생기는 것이므로 환지예정지 지정이 있기 전의 종전 토지의 점유와 그 후의 점유는 특별한 사정이 없는 한 동일성을 인정할 수 없다."
"이유","원심은 거시 증거에 의하여, 환지 전 OO O구 전 5,720평은 원래 피고의 소유였는데 피고가 1961년경부터 위 토지 중 일부씩을 위치를 특정하여 여러 사람들에게 매도하면서 분할등기를 하지 아니하고 전체 면적에 대한 매도 부분의 면적에 상응하는 비율로 지분이전등기를 마쳐준 사실이다."
"이유","그 후 소외 OO시가 위 토지를 포함한 부근 일대의 토지에 대하여 토지구획정리사업을 시행함에 있어서 특정 부분을 점유하고 있는 매수인들에게 그 점유 부분을 환지받을 수 있도록 환지예정지를 지정하고 그에 따라 1972. 6. 20. 대 175.9㎡를 비롯한 여러 필지로 분할되어 환지처분된 사실이다."
"이유","이 사건 토지는 피고의 단독 소유로 환지확정되었음에도 등기부상으로는 피고 단독 명의로 등기되지 않고 종전 토지에 대한 지분이전등기가 그대로 전사됨으로써 원심 변론종결 당시에는 피고와 원심공동 피고 본인들 또는 그 피상속인 명의의 공유지분등기가 경료되어 있는 사실이다."
"이유","소외 1은 토지구획정리사업이 시행되기 이전인 1950. 2. 25.경부터 이 사건 토지 위에 건물을 소유하면서 이 사건 토지를 점유하여 오다가 1966. 12. 10. 소외 2에게 위 건물을 매도하였다."
"이유","위 소외 2는 1978년 소외 3에게, 위 소외 3은 1989. 5. 19. 원고 및 원고의 처인 소외 4에게 위 건물을 매도하였다."
"이유","1990. 11. 24. 위 소외 4의 지분이 원고에게 이전된 이후에는 원고가 이 사건 토지 및 위 건물을 점유·사용하여 온 사실을 인정한다."
"이유","원고가 피고의 소유권을 배척하고 점유할 의사를 가지고 있지 아니하였던 것으로 볼 만한 객관적 사정에 관한 주장·입증이 없다는 이유로 배척하여 최소한 위 환지확정일인 1972. 6. 20.부터 20년이 경과한 1992. 6. 20.에는 그 점유부 취득시효가 완성되었다고 판단하였다."
"이유","그런데 기록에 의하면, 이 사건 토지 위에 건립된 건물은 원래 국유지 위에 건립된 주택 및 영업소로서 위 소외 1이 이를 취득할 당시 그 건물만을 매입하였고 위 건물의 부지가 피고의 소유임을 알고 있었던 사실을 엿볼 수 있는 바이다."
"이유","기록에 의하면 위 소외 1은 1965. 6. 29. 피고로부터 이 사건 토지와 무관한 환지 전 답 988평 중 일부를 매입한 사실이 인정될 뿐이고 달리 이 사건 토지에 관한 타주점유를 자주점유로 전환하였다는 아무런 자료를 찾을 수 없다."
"이유","위 소외 2가 환지처분 후에도 여전히 이 사건 토지에 대한 권원을 오인하여 계속하여 소유의 의사로 점유하였다거나 환지처분 후 새로이 그 권원을 오인하여 소유의사에 의한 자주점유를 개시하였다고 보기도 어렵다."
"이유","그러함에도 원심은 위 소외 1이 이 사건 토지에 대하여 점유를 개시할 당시 소유권 취득의 원인이 될 수 있는 법률요건이 있었는지 여부와 자주점유로의 변환 여부 및 환지처분이 점유에 미치는 영향 등에 관하여 심리하지 아니한 채 무단점유에 관한 피고의 주장을 배척하였는 바이다."
"이유","거기에는 자주점유의 추정과 무단점유에 관하여 법리를 오인한 나머지 그 심리를 다하지 아니한 위법이 있다고 할 것이고, 이 점을 지적하는 취지의 논지는 이유 있다."
