"판시사항","구 주택법 제43조 제6항 본문이 입주자대표회의에 대하여 사업주체가 공동주택의 관리와 관련하여 제3자와 체결한 계약에 따른 권리·의무 등을 승계할 의무를 부과하는 규정인지 여부"
"판결요지","구 주택법 제43조 제6항 본문은 사업주체와 새로운 관리주체 사이에서 관리업무를 사실상 이전하여야 함을 규정하는 것이다."
"판결요지","구 주택법 제2조 제14호가 정하는 관리주체에도 해당하지 아니하는 입주자대표회의에 대하여 사업주체가 공동주택의 관리와 관련하여 제3자와 체결한 계약에 따른 권리·의무 등을 승계할 의무를 부과하는 규정이라고 볼 수 없다."
"이유","피고 1은 이 사건 위탁관리계약에 기하여 2005. 5.경부터 이 사건 지하 1, 2층에서 스포츠센터를 운영하여 왔다."
"이유","이 사건 아파트의 입주자대표회의는 이 사건 위탁관리계약에 따른 이 사건 조합의 권리·의무를 승계하라는 이 사건 조합 및 피고 1의 요청을 거절한 사실 등을 알 수 있다."
"이유","사업주체는 제4항에 따른 자치관리기구가 구성되거나 제5항에 따른 주택관리업자가 선정된 경우에는 해당 관리주체에게 공동주택의 관리업무를 인계하여야 하며, 관리주체가 변경된 경우에도 또한 같다."
"이유","이를 전제로 이 사건 아파트의 입주자대표회의는 이 사건 조항에 기하여 이 사건 위탁관리계약에 따른 이 사건 조합의 권리·의무를 승계할 의무가 있다."
"이유","그와 같이 승계된 이 사건 위탁관리계약의 효력은 원고들에게도 미친다는 이유로 이 사건 위탁관리계약에 기한 피고들의 점유권원의 항변을 받아들여 이 사건 지하 1, 2층의 인도를 구하는 원고들의 이 사건 청구를 기각하였다."
"이유","사업주체는 입주예정자의 과반수가 입주할 때까지 그 공동주택을 직접 관리하여야 하며, 입주예정자의 과반수가 입주하였을 때에는 입주자에게 그 사실을 알리고 그 공동주택을 제2항에 따라 관리할 것을 요구하여야 한다."
"이유","입주자가 제1항에 따른 요구를 받았을 때에는 그 요구를 받은 날부터 3개월 이내에 입주자대표회의를 구성하고, 그 공동주택의 관리방법을 결정하여 이를 사업주체에게 통지하여야 한다."
"이유","입주예정자의 과반수가 입주한 이후에는 입주자 또는 입주자가 구성하는 입주자대표회의에 의한 자율적인 공동주택의 관리를 보장하고 있다."
"이유","사업주체 또는 리모델링을 하는 자는 그 공동주택의 공용부분에 대한 장기수선계획을 수립하여 제29조에 따른 사용검사를 신청할 때에 사용검사권자에게 제출하고, 사용검사권자는 이를 그 공동주택의 관리주체에게 인계하여야 한다."
"이유","법률상 지위의 이전에 대하여는 ‘승계’라는 용어를, 물건이나 서류의 사실상 이전에 대하여는 ‘인계’라는 용어를 구분하여 사용하는데, 이 사건 조항에서는 그중 ‘인계’라는 용어를 사용하고 있다."
"이유","자치관리기구의 대표자인 공동주택의 관리사무소장은 관리업무의 집행 과정에서 체결된 계약에 따른 권리·의무의 귀속주체가 될 수 없으며, 구 주택법 시행령 제49조 제1항, 제55조 제1항 등에 의하면 이들 관리주체는 입주자대표회의 등의 위임이나 의결에 의하여 공동주택의 관리업무를 현실적으로 집행하고 구체화하는 지위에 불과하다."
"이유","이러한 구 주택법령 규정들의 문언 및 내용에 비추어 보더라도 사업주체가 공동주택의 관리와 관련하여 제3자와 체결한 계약에 따른 권리·의무의 당연 승계까지도 포함시키려는 취지로 이 사건 조항이 관리업무의 인계를 규정한 것이라고 보기는 어렵다."
"이유","입주자대표회의 등은 별개의 권리주체인 사업주체에 의하여 체결되고 자신은 그 체결 여부나 내용의 형성에 전혀 관여하지 못한 계약에 따른 권리·의무에 대하여도 그것이 공동주택의 관리와 관련되어 있다는 사정만으로 자신의 의사에 반하여 이를 승계하여야 하는 것이 되어 사적자치의 원칙에도 어긋난다."
"이유","이러한 사정들을 종합하면 이 사건 조항은 사업주체와 새로운 관리주체 사이에서 관리업무를 사실상 이전하여야 함을 규정하는 것으로 봄이 상당하다."
"이유","구 주택법 제2조 제14호가 정하는 관리주체에도 해당하지 아니하는 입주자대표회의에 대하여 사업주체가 공동주택의 관리와 관련하여 제3자와 체결한 계약에 따른 권리·의무 등을 승계할 의무를 부과하는 규정이라고 볼 수 없다."
"이유","이 사건 아파트의 입주자대표회의가 이 사건 위탁관리계약에 따른 이 사건 조합의 권리·의무를 승계하지 아니하는 의사를 표시한 이상, 이 사건 위탁관리계약에 따른 이 사건 조합의 권리·의무가 이 사건 조항에 기하여 당연히 이 사건 아파트의 입주자대표회의에게 승계되는 것은 아니다."
"이유","이러한 원심판단에는 이 사건 조항이 규정하는 관리업무의 인계에 관한 법리를 오해하여 판결에 영향을 미친 위법이 있다."
"이유","본안에 대하여 위와 같은 이유로 원심판결 중 본소에 관한 부분을 파기하는 이상 가지급물반환신청에 관한 부분도 함께 파기되어야 한다."
"이유","그러므로 나머지 상고이유에 대한 판단을 생략한 채 원심판결 중 본소에 관한 부분 및 가지급물반환신청에 관한 부분을 파기한다."
"이유","이 부분 사건을 다시 심리·판단하게 하기 위하여 원심법원에 환송하기로 하여, 관여 대법관의 일치된 의견으로 주문과 같이 판결한다."
