"판시사항","의용부동산등기법 시행 당시 임야에 대하여 소유권보존등기가 경료되었다면 그 보존등기 당시에 지적공부 등이 비치되어 있었다고 봄이 상당하다고 한 사례"
"판결요지","어느 부동산에 관하여 등기가 경료되어 있는 경우 특별한 사정이 없는 한 그 원인과 절차에 있어서 적법하게 경료된 것으로 추정된다."
"판결요지","또한 어느 임야를 분할하기 위해서는 우선 임야도상에 그 분할될 임야 부분을 분할하고 새로이 임야대장에 등록을 하여야 하므로, 특별한 사정이 없는 한 그 임야에 대한 임야도도 존재하고 있었다고 봄이 상당하다고한 사례."
"판결요지","동일한 임야에 대하여 등기명의인을 달리하여 소유권보존등기가 중복되어 경료된 경우에는 먼저 이루어진 소유권보존등기가 원인무효로 되지 아니하는 한 뒤에 이루어진 소유권보존등기는 무효라고 보아야 한다."
"이유","원심판결 이유에 의하면, 원심은 거시증거에 의하여 평택시 임야 1,488㎡{원래는 경기 진위군 임야 1단 5무보이었으나 후에 경기 평택군 ○○읍△△리로 행정구역이 변경되었다가 다시 현재와 같이 행정구역이 개편되고 면적환산되었다."
"이유","어느 부동산에 관하여 등기가 경료되어 있는 경우 특별한 사정이 없는 한 그 원인과 절차에 있어서 적법하게 경료된 것으로 추정되는 것이다."
"이유","한편 위 소유권보존 당시의 토지분할시 지번부여방식을 보면, 구 지적법 제16조 제1항은 “분할한 토지에 대하여는 분할 전의 지번에 부호를 붙여서 각 토지의 지번을 정한다”, 제3항은 “특별한 사정이 있을 때에는 전 2항의 규정에 불구하고 적의의 지번을 정할 수 있다”고 규정하고 있는 바이다."
"이유","위 규정에 의하면 본번의 임야를 분할할 경우 특별한 사정이 없는 한 본번 다음에 “의 1”, “의 2” 등의 부호를 붙이고 본번은 폐쇄하였음을 알 수 있다."
"이유","위 현 임야도와는 토지형태·면적 및 그 주변토지의 형태는 거의 유사하므로, 이 사건 임야에서 분할되어 나온 토지들은 위 임야원도와 폐쇄임야도상 (주소 2 생략)의 밖에는 존재하지 않았을 것으로 보인다."
"이유","그러므로 원심으로서는, (주소 3 생략) 임야 1단 3무보로 표시된 등기는 부동산의 표시에 관한 한 (주소 3 생략) 임야에 대한 등기로서 유효하다고 본다."
"이유","한편 기록에 의하면, 소외 2는 소외 6의 장남으로서 소외 6이 1952.7.10. 사망하였으며, 소외 1은 소외 6의 동생으로서 유족없이 사망하였음을 알아 볼 수 있으므로 소외 2 명의의 소유권보존등기가 실체관계에 부합하는 등기인지 여부를 심리·판단하여야 할 것이다."
"이유","그러므로 나머지 상고이유에 대한 판단을 생략한 채 원심판결을 파기하고, 사건을 다시 심리·판단케 하기 위하여 원심법원에 환송하기로 하여 관여 법관의 일치된 의견으로 주문과 같이 판결한다."
