"판시사항"," 등기공무원이 기등기건물과 동일한 건물에 대하여 중복보존등기를 경료케 한 경우, 심사권한 행사시  주의의무를 위반한 것이라고 본 사례"
"이유","1991.4.19. 제1,2호 보존등기부상 각 제2순위 등 근저당권자 겸 나머지 건물에 관한 제1순위등 근저당권자인 주식회사 신한은행의 신청으로 위 모두에 대한 경매가 개시되었으나 그 경매절차 진행중 제2호 보존등기가 중복등기로서 무효임이 밝혀져 원고는 위 경매절차에서 배당금을 전혀 받지 못하였다는 것이다."
"이유","기록에 비추어 보면 원심의 위와 같은 사실인정은 옳고, 거기에 원고가 지적하는 바와 같은 사실오인의 위법이 있다고 할 수 없다."
"이유","등기공무원으로서의 통상의 주의를 기울여 등기신청서에 첨부된 건축물관리대장을 살펴 보았더라면 동일 지번 위에 그와 같은 건물이 1동뿐이고 달리 제2호 건물이 별도로 존재하지 아니한 사실을 쉽게 발견하여 제2호 보존등기신청이 이미 보존등기된 건물에 관한 이중의 보존등기신청인 임을 넉넉히 알 수 있었다."
"이유","위와 같은 조사의무를 게을리 한 채 만연히 제1호 보존등기와 제2호 보존등기의 신청서에 첨부된 각 건물도면이 서로 다르다고 하여 제1호 보존등기로 경료된 건물과 다른 건물이 있는 것으로 잘못 판단한 나머지 제2호 보존등기를 경료케 한 과실이 있다고 하겠다."
"이유","원심이 같은 취지에서 피고는 그 소속공무원인 피고 보조참가인의 위와 같은 직무집행상의 과실로 인하여 원고가 입은 모든 손해를 배상할 책임이 있는 것으로 판단하였음은 옳다."
"이유","거기에 피고가 주장하는 바와 같은 등기공무원의 실질적 심사권의 범위에 관한 법리오해의 위법이 있다고 할 수 없다."
"이유","기록에 의하면 원고는 현장답사 및 감정평가서를 통하여 이 사건 건물의 지번상에는 위와 같은 신축년도, 구조, 용도 및 지적의 단층 건물로는 이 사건 건물 1동만이 존재하고 있다는 사실을 이미 알고 있었다."
"이유","이에 이르지 아니한 채 만연히 이 사건 건물이 미등기 건물이라는 소외 회사의 말만 믿고 그 근저당권설정등기가 적법 유효한 것으로 믿고 소외 회사에게 금원대출 등을 한 과실이 있다."
"이유","결국 원심이 이와 같은 취지에서 원고의 과실에 터잡아 원고의 과실비율을 40%로 보았는바, 기록에 비추어 살펴보면 원심의 위와 같은 판단은 수긍이 간다."
"이유","거기에 소론과 같은 과실상계에 관한 법리오해의 위법이 있다고 할 수 없다. 논지들 또한 모두 이유가 없다."
"이유","이에 상고를 모두 기각하고 상고비용은 각자의 부담으로 하기로 관여 법관의 의견이 일치되어 주문과 같이 판결한다."
