"판시사항","임기 만료된 종중의 대표자가 별도의 대표자를 선임한 총회 결의의 하자를 주장하여 그 무효확인을 구할 법률상의 이익이 있는지 여부"
"판결요지","직선제에 의한 종중의 회장 선출시 의결정족수를 정하는 기준이 되는 출석종원이라 함은 당초 총회에 참석한 모든 종원을 의미하는 것이 아니라 문제가 된 결의 당시 회의장에 남아 있던 종원만을 의미한다고 할 것이므로 회의 도중 스스로 회의장에서 퇴장한 종원들은 이에 포함되지 않는다."
"이유","이러한 경우에는 전임회장은 그 임기만료 이후로도 직무수행의 일환으로서, 별도의 회장을 선임한 총회 결의의 하자를 주장하여 그 무효확인을 구할 법률상의 이익이 있다고 보아야 할 것이며, 판시 증거들에 의하면, 피고 종중의 약관 제15조, 제17조에는 정기총회는 매년 4월에 회장이 소집하였다."
"이유","임원의 선출은 총회 의결사항으로 규정되어 있는 사실, 그런데 피고 종중의 종원인 소외 2 외 4인이 피고 종중의 정기총회 개최발기인이라 자칭하고 1999. 4. 22.자로 발기인 명의의 총회 개최 통보서를 종원 82명에게 발송하였다."
"이유","나아가 소외 2 외 4인이 피고 종중의 총회를 소집할 권한이 있다는 점에 관하여는 이를 인정할 아무런 증거가 없다는 이유로 위 항변을 배척하였다."
"이유","이와 다른 전제에서 특별대리인을 선임하지 않은 채 피고 종중의 대표자를 소외 1로 하여 제기된 이 사건 소는 확인의 이익이 없다는 상고이유의 주장 역시 이유 없다."
"이유","종원 소외 9가 동의안 과 개의안 에 대한 찬부의 표결방법으로 시간도 부족하고 장소도 협소하다는 이유로 의장석을 중심으로 직선제를 찬성하는 사람은 그 좌측에 섰다."
"이유","이어 위 후보자들에 대한 거수방법에 의한 투표 결과, 출석종원 173명 중 소외 1이 11표, 원고가 140표, 기권 22표로 나타나자, 소외 6은 원고가 신임회장으로 선임되었음을 선포하였다."
"이유","회장을 선임하는 총회에서의 결의는 총회에 출석한 자들의 과반수 찬성으로 정하는 방법에 의함이 상당하다 할 것이므로, 1997. 4. 24.자 피고 종중의 총회에서 출석한 종원들의 직선제로 회장을 선임한 방법은 적법하다고 판단하였다."
"이유","위 총회의 정회 후 임시의장인 소외 6이 나머지 종원들과 함께 위 총회를 속개함으로써 적법하게 의사 및 표결이 진행되었다고 볼 것이라고 판단하였다."
"이유","이와 달리 출석 여부와 관계없이 모든 개개의 종원이 총회에서의 의결권을 갖는다는 전제하에 개개의 종원에게 총회소집통지를 하지 않은 1997. 4. 24.자 정기총회의 결의가 위법하다는 상고인의 주장은 이유 없다."
