"판시사항","주택분양보증인이 보증책임을 이행하면서 자신의 귀책사유로 약정한 입주예정일까지 입주시키지 못한 경우 입주 지연으로 인한 손해배상책임의 인정 여부"
"판결요지","이와 같이 당초의 분양자의 입주지연으로 인한 손해배상책임에 관하여 적용되는 약정은 주택분양보증인이 보증책임을 이행하면서 자신의 귀책사유로 입주를 지연한 경우에도 적용된다."
"이유","갑 제1호증의 1 내지 350, 갑 제2, 3호증, 을 제1 내지 6호증의 각 1, 2, 을 제7 내지 15호증의 각 기재와 원심 증인 B의 일부 증언에 변론의 전취지를 종합하여 이를 인정할 수 있고 달리 반증이 없다."
"이유","유한회사 OOO과 OOO 주식회사는 공동으로 1996. 3. 4. 울산시장으로부터 울산 중구 C 외 6필지상에 아파트 8개동 627세대 D아파트를 신축·분양하는 내용의 주택건설 사업계획을 승인받아 그 무렵 위 공사에 착공하면서 입주자 모집공고를 하였다."
"이유","소외 회사가 약속한 위 입주예정일 내에 수분양자들을 입주시키지 못한 경우에 수분양자들이 실입주개시일 이전에 납부한 입주금에 대하여 지급할 지체상금 등에 관하여는 명시적으로 약정하지 않았다."
"이유","1999. 9. 21. 시공자인 OOO과 함께 수분양자측 대표인 이 사건 아파트 입주자대표회의 대표자들과 만나 피고측이 1999. 10. 1.부터 공사를 재개하여 2000. 2.말경까지 입주에 지장이 없는 범위 내에서 건축공사를 완료하기로 약정하였다."
"이유","피고는 1999. 10. 1.경 이 사건 아파트 공사를 재개하여 2000. 3.말경 이 사건 아파트 공사를 완공하였다."
"이유","잔금을 완납한 세대에 한하여 2000. 3. 31.부터 2000. 5. 31.까지 이 사건 아파트에 입주할 수 있다는 내용의 입주안내문을 발송하였으며, 2000. 4. 8. 이 사건 아파트에 대한 임시사용승인을 받았다."
"이유","구 주택건설촉진법은, 등록업자는 상호 협동조직을 통한 신용도를 높이고 자율적인 경제활동을 도모하기 위하여 주택사업에 관한 의무이행에 필요한 각종 보증 및 자금의 융자등을 행하는 주택사업공제조합을 설립할 수 있다."
"이유","법 제47조의7 제1항 제1호의 규정에 의하여 공제조합이 행할 수 있는 분양보증을 주택분양보증·주택임대보증 및 주택착공보증으로 구분한다."
"이유","이에 대응하여 사업주체가 입주자 모집공고에서 정한 입주예정일 내에 입주를 시키지 못한 경우에는 실입주개시일 이전에 납부한 입주금에 대하여 입주시 입주자에게 제3항의 규정에서 정한 연체요율을 적용한 금액을 지체상금으로 지급하거나 주택잔금에서 해당액을 공제하여야 한다."
"이유","사업주체와 주택을 공급받는 자가 체결하는 주택공급계약서에는 입주예정일, 연대보증인 또는 주택사업공제조합의 주택분양보증을 받은 경우에는 그 보증내용, 입주금과 그 납부시기, 연체료의 산정 및 납부방법, 지체상금의 산정 및 지급방법 내용 등이 포함되어야 한다고 규정하고 있다."
"이유","사업주체인 소외 회사가 마련한 주택보증약관은 조합이 기납부된 계약금 및 중도금의 환급이행으로 보증채무를 이행하는 경우에는 기납부된 계약금 및 중도금에 한하여 지급한다."
"이유","그 약정연대보증인이 파산 등의 사유로 불가피하게 승계시공을 하지 못하는 경우에는 조합의 운영위원회가 조합원 중에서 승계시공자를 선정하며, 제2항의 경우 잔여분양대금은 승계시공자에게 납부하여야 한다고 규정하고 있다."
"이유","소외 회사는 수분양자들인 원고들을 이 사건 아파트 입주예정일인 1998. 12.말경까지 입주시키지 못하였으므로, 그로 인해 원고들이 입게 된 손해를 배상할 책임이 있다."
"이유","그런데 이 사건 분양계약에 의하면, 원고들이 입주금을 납부기한까지 납부하지 않을 경우에는 납부일까지의 경과일수에 대하여 연 17%의 이율로 계산한 연체료를 납부하도록 되어 있다."
"이유","가사 그렇지 않다 하더라도 피고는 소외 회사로부터 이 사건 아파트에 대한 분양미수금채권을 양도받음으로써 소외 회사의 원고들에 대한 위 지체상금 지급채무가 포함된 일체의 채권·채무를 포괄적으로 승계하였으므로 원고들에게 위 지체상금을 지급할 의무가 있다."
"이유","적어도 피고 자신의 귀책사유로 발생한 2000. 3. 1.부터 2000. 4. 7.까지의 지체기간에 대하여 위와 같은 방식으로 계산된 지체상금을 지급할 의무가 있다."
"이유","피고의 앞서 본 분양이행보증은 당해 주택을 완공하여 분양하는 책임에 그치고 더 나아가 소외 회사의 원고들에 대한 앞서 본 지체상금 지급채무까지 보증하는 것은 아니라고 보아야 할 것이다."
"이유","그러한 사정만으로는 피고가 소외 회사의 원고들에 대한 위 지체상금 지급채무까지 승계하였다고 보기 어렵고 달리 이를 인정할 증거도 없다."
"이유","위 지체기간에 대하여 피고에게 귀책사유가 없다는 다른 사정이 없는 한, 피고는 원고들에게 위 약정 위반으로 인한 손해배상책임을 부담한다 할 것이다."
"이유","피고가 약속한 입주예정일에 맞추어 원고들로 하여금 입주하게 하지 못한 이상, 위와 같은 사정만으로 위 지체기간에 대해 피고의 귀책사유가 없었다고 보기 어렵고 달리 이를 인정할 증거도 없으므로, 피고의 위 주장은 이유 없다."
"이유","이와 같이 당초의 분양자인 소외 회사의 입주지연으로 인한 손해배상책임에 관하여 적용되는 약정은 주택분양보증인인 피고가 보증책임을 이행하면서 자신의 귀책사유로 입주를 지연한 경우에도 적용된다 할 것이다."
