"판시사항","자백의 임의성을 의심할 만한 상당한 이유가 있는 검사 작성의 피의자신문조서의 증거능력 및 그 임의성에 대한 입증책임의 소재."
"판결요지","피고인의 검찰에서의 자백이 잠을 재우지 아니한 채 폭언과 강요 회유한 끝에 받아낸 것으로 임의로 진술한 것이 아니라고 의심할 만한 상당한 이유가 있는 때에 해당한다면 형사소송법 제309조의 규정에 의하여 그 피의자신문조서는 증거능력이 없다."
"판결요지","그 임의성에 다툼이 있을 때에는 그 임의성을 의심할 만한 합리적이고, 구체적인 사실을 피고인이 입증할 것이 아니고 검사가 그 임의성의 의문점을 해소하는 입증을 하여야 한다."
"판결요지","공무원의 직무와 관련하여 금품을 수수하였다면 그 수수한 금품은 뇌물이 되는 것이고, 그것이 사교적 의례의 형식을 사용하고 있다 하여도 직무행위의 대가로서의 의미를 가질 때에는 뇌물이 된다."
"판결요지","뇌물죄에 있어서의 직무라 함은 공무원이 법령상 관장하는 직무 그 자체뿐만 아니라 그 직무와 밀접한 관계가 있는 행위 또는 관례상이나 사실상 소관하는 직무행위 및 결정권자를 보좌하거나 영향을 줄 수 있는 직무행위도 포함된다."
"판결요지","뇌물을 여러 차례에 걸쳐 수수함으로써 그 행위가 여러 개이더라도 그것이 단일하고 계속적 범의에 의하여 이루어지고 동일법익을 침해한 때에는 포괄일죄로 처벌함이 상당하다."
"판결요지","수뢰자가 자기앞수표를 뇌물로 받아 이를 소비한 후 자기앞수표 상당액을 증뢰자에게 반환하였다 하더라도 뇌물 그 자체를 반환한 것은 아니므로 이를 몰수할 수 없고 수뢰자로부터 그 가액을 추징하여야 할 것이다."
"이유","피고인 1 피고인 2과 피고인 2의 변호인의 상고이유 중 피고인들에 대한 각 피의자신문조서 등의 임의성 여부에 관하여 함께 판단한다."
"이유","기록에 의하면, 먼저 피고인 2은 1998. 2. 11. 14:30경 검찰에 자진 출석하여 비리혐의에 대하여 진술서를 작성한다."
"이유","이어 다음 날까지 계속된 조사 끝에 제1회 피의자신문조서를 작성하게 되었으며, 그 조사과정에서 위 피고인은 검사 등이 잠시 쉬는 사이에 같은 해 2. 12. 05:00경부터 1시간 정도 의자에서 잠을 잔 다음 계속 수사를 받았다."
"이유","같은 날 09:00경 긴급체포된 다음 같은 날 24:00경 서초경찰서에 유치되었다가 같은 해 2. 13. 10:00경 영장실질심사를 받고 그 날 구속영장이 발부된다."
