"판시사항","약사법 제21조 제1항 소정의 의약품의 “조제”에 한약을 혼합하여 특정인의 특정된 질병에 대한 약제를 만드는 것이 포함되는지 여부"
"이유","약사법 제74조 제1항 제1호 소정의 “제21조 제1항의 규정에 위반한 자”에 해당하는 것으로 판단하여 판결로써 형을 선고하였다."
"이유","한약을 혼합하여 특정인의 특정된 질병에 대한 약제를 만드는 것도 일반적으로는 위와 같은 조제의 개념에 포함된다고 볼 것이다."
"이유","법 제36조 제2항은 한약업사는 환자의 요구가 있을 때에는 기성한약서에 수재된 처방 또는 한의사의 처방전에 의하여 한약을 혼합판매할 수 있도록 허용하고 있다."
"이유","같은법시행령 제28조에 의하면 한약업사의 시험은 필기시험과 실기시험으로 구분하되 그 필기시험의 시험과목은 (가) 본초강목. 방약합편 및 약성가에 수재된 한약의 명칭·성상·용도·저장방법 및 극약과 독약과의 구별, (나) 기성한의서에 수재된 처방과 혼합방법, (다) 약사에 관한 법규로 규정되어 있는 바이다."
"이유","보건위생상 특별한 주의를 요할 위험성이 다른 의약품에 비하여 적다는 특수성과 고래로부터 전하여 온 한약의 판매에 관한 관행을 감안하여 법이 일정한 요건 아래서 약사의 조제능력에 해당하는 혼합판매능력을 한약업사에게 부여한 것이라고 봄이 상당하다."
"이유","법 제21조 제1항의 규정에 위반한 자로 보아 법 제74조 제1항 제1호에 의하여 처벌할 수는 없다고 할 것이다."
"이유","같은 증거들 중 피고인이 수사기관에서부터 원심의 공판기일에 이르기까지 일관되게 진술한 바에 의하면, 피고인은 한약업사로서 피고인이 근무하는 한약방에 찾아온 환자들의 요구에 의하여 기성한약서인 방약합편에 기재된 처방대로 한약을 혼합하여 판매하여 왔을 뿐이라고 주장하고 있음을 알 수 있다."
"이유","피고인의 이와 같은 주장과 는 달리 피고인이 환자들의 질병을 진단한 결과에 따라 독자적인 처방에 의하여 기성 한약서에 근거하지 아니한 채 한약을 혼합하여 판매하였음을 인정할 만한 자료는 위 증거들이나 기록에서 찾아 볼 수 없다."
"이유","제36조 제2항에 관한 법리를 오해하였거나 심리를 제대로 하지 아니한 채 증거도 없이 범죄사실을 인정한 위법이 있다고 하지 않을 수 없다."
"이유","그러므로 원심판결을 파기하고 다시 심리판단하게 하기 위하여 사건을 원심법원에 환송하기로 관여 법관의 의견이 일치되어 주문과 같이 판결한다."
