"판시사항","구 상표법 제51조 제1항 제1호에서 정한 ‘상호를 보통으로 사용하는 방법으로 표시한다’는 것의 의미와 판단 기준"
"이유","제1점에 관하여 타인의 등록상표와 동일·유사한 상표를 그 지정상품과 동일·유사한 상품에 사용하면 그 등록상표권을 침해하는 행위가 되는 바이다."
"이유","그것이 상표로서 사용되고 있는지의 여부는 상품과의 관계, 당해 표장의 사용 태양, 사용자의 의도와 사용 경위 등을 종합하여 실제 거래계에서 그 표시된 표장이 상품의 식별표지로서 사용되고 있는지 여부를 종합하여 판단하여야 한다."
"이유","위 법리 및 기록에 비추어 살펴보면, 피고인은 가구 판매를 업으로 영위하는 사람으로서 테이블, 보석함 등을 판매하면서 그 가격표의 앞, 뒷면에 비교적 크게 “”와 같은 표장을 표시하였다."
"이유","위 가격표에는 피고인의 사용표장 외에는 상품의 출처를 나타내는 표지가 없어 피고인은 피고인의 사용표장을 상품의 출처 표시로 사용하였다고 보인다."
"이유","위 테이블 등을 구입하는 일반 수요자로서는 위 가격표에 표시된 피고인의 사용표장을 타인이 판매하는 상품과 구별하기 위하여 표시한 표장이라고 인식할 것이므로, 피고인의 사용표장은 상표로서 사용되었다고 봄이 상당하다."
"이유","구 상표법 제51조 제1항 제1호에 의하면, 자기의 상호를 보통으로 사용하는 방법으로 표시하는 상표에 대하여는 그것이 상표권의 설정등록이 있은 후에 부정경쟁의 목적으로 사용하는 경우가 아닌 한 등록상표권의 효력이 미치지 아니하는 바이다."
"이유","그러므로 표장 자체가 특별한 식별력을 갖도록 표시되었는지 외에도 사용된 표장의 위치, 배열, 크기, 다른 문구와의 연결관계, 도형과 결합되어 사용되었는지 여부 등 실제 사용태양을 종합하여 거래통념상 자기의 상호를 보통으로 사용하는 방법으로 표시한 경우에 해당하는지 여부를 판단하여야 한다."
"이유","위 법리 및 기록에 비추어 살펴보면, 피고인의 사용표장에는 피고인의 상호인 “OOO”가 한글이 아닌 영문자의 평이하지 않은 서체로 표기되어 있다."
"이유","그 왼쪽 옆에는 신전 기둥 모양의 도형이 그려져 있어 일반인의 주의를 끌기에 충분하도록 표시되어 있는 점이다."
"이유","위 영문자 끝부분에는 등록상표임을 표시하는 ‘OOO’을 함께 병기하고 있는 점, 그 밖에 피고인의 사용표장의 위치와 크기 등을 고려할 때, 일반 수요자가 피고인의 사용표장을 상호로 인식하지는 않을 것으로 보인다."
"이유","따라서 피고인의 사용표장이 거래통념상 자기의 상호를 보통으로 사용하는 방법으로 표시한 상표에 해당한다고 할 수 없다."
"이유","구 상표법 제51조 제1항 제1호에 해당한다고 할 수 없으므로, 같은 취지로 판단한 원심은 정당하고 거기에 법리오해의 잘못이 없다."
"이유","문자 등의 결합관계 등에 따라 ‘독립하여 자타상품을 식별할 수 있는 구성부분’, 즉 요부만으로도 거래에 놓일 수 있다고 인정될 경우에는 그 요부를 분리 내지 추출하여 그 부분에 의해 생기는 호칭 또는 관념에 의해 상표의 유사 여부를 판단할 수 있다."
"이유"," “”로 이루어진 이 사건 등록상표와 피고인의 사용표장은 그 외관이 서로 상이하나, 일반 수요자들은 이 사건 등록상표를 ‘OOO’ 부분만으로, 피고인의 사용표장을 ‘OOO’ 부분만으로 호칭·관념할 수 있다."
"이유","두 표장이 동일·유사한 상품에 함께 사용되는 경우 ‘OOO’ 또는 ‘OOO’ 부분을 포함하고 있음으로 인하여 그 출처에 관하여 오인·혼동을 일으킬 염려가 있어 이 사건 등록상표와 피고인의 사용표장은 서로 유사하다고 보아야 한다."
"이유","따라서 이 사건 등록상표와 피고인의 사용표장이 서로 유사하다고 판단한 원심은 정당하고 거기에 상표의 유사 여부에 관한 법리오해의 잘못이 없다."
