"판시사항","구 법인세법 시행령 제104조 제2항 등 법령에 포탈세액의 추계방법이 규정되어 있는 경우, 이를 적용하여야 하는지 여부"
"판결요지","구 법인세법 시행령 제104조 제2항이 추계결정의 방법을 제한적으로 열거하고 있는 것은 아니고, 그 방법이 일반적으로 용인될 수 있는 객관적, 합리적인 것이고 그 결과가 고도의 개연성과 진실성을 가진 것이라면 이에 의한 포탈세액의 추계도 허용된다."
"판결요지","그러나 위와 같이 법령에 추계방법이 규정되어 있는 경우에는 구체적 사안에서 그 방법이 불합리하다고 볼 특별한 사정이 없는 한 이를 적용하여야 한다고 보는 것이 타당하다."
"판결요지","구 조세범 처벌법 제9조 제1항에 규정된 조세포탈죄에서 ‘사기 기타 부정한 행위’란 조세의 포탈을 가능하게 하는 행위로서 사회통념상 부정이라고 인정되는 행위, 즉 조세의 부과징수를 불가능하게 하거나 현저히 곤란하게 하는 위계 기타 부정한 적극적 행위를 말한다."
"판결요지","어떤 다른 행위를 수반함이 없이 단순한 세법상의 신고를 하지 아니하거나 허위의 신고를 하는 데에 그치는 것은 이에 해당하지 않는다."
"이유","기록에 비추어 살펴보면 이와 같은 원심의 판단은 정당하고, 거기에 상고이유에서 주장하는 조세포탈죄에 있어서의 고의에 관한 법리오해 등의 위법이 없다."
"이유","원심은 피고인 2 주식회사의 법인세 포탈에 관하여, 검사가 피고인 2 주식회사의 소득금액을 결정함에 있어 ‘필요한 장부 또는 증빙서류가 없거나 그 중요한 부분이 미비 또는 허위인 때’에 해당하여 포탈세액을 추계하기로 결정한다."
"이유","피고인 2 주식회사의 법인세 포탈세액을 추계한 사실을 인정한 다음, 검사가 적용한 추계방법은 조사결과를 바탕으로 한 객관적이고 합리적인 것으로 보인다는 이유로 그 추계방법에 의한 법인세 포탈세액의 추계가 적법하다고 판단하였다."
"이유","제3호로 ‘ 조세특례제한법 제7조 제1항 제2호 (가)목의 규정에 의한 소기업이 폐업한 때에는 소득세법 시행령 제143조 제3항 제1호의2의 규정을 준용하는 방법 등 합리적인 방법으로 인정되어 국세청장이 정하는 방법’을 들고 있다."
"이유","소득세법 시행령 제143조 제3항 제1호의2는 수입금액에서 수입금액에 단순경비율을 곱한 금액을 공제한 금액을 그 소득금액으로 결정 또는 경정하는 방법을 규정하고 있다."
"이유","위와 같은 구 법인세법 시행령의 규정이 추계결정의 방법을 제한적으로 열거하고 있는 것으로 볼 것은 아니다."
"이유","그 방법이 일반적으로 용인될 수 있는 객관적, 합리적인 것이고 그 결과가 고도의 개연성과 진실성을 가진 것이라면 그 방법에 의한 포탈세액의 추계도 허용된다."
"이유","피고인 2 주식회사의 법인세 포탈세액은 특별한 사정이 없는 한 위 구 법인세법 시행령 등의 규정에 따라 단순경비율 방식으로 추계하여야 할 것이다."
"이유","원심은 피고인 1이 이른바 자료상으로부터 허위의 세금계산서를 구입하면서 부가가치세 상당액을 지급한 사실, 피고인 1에게 허위의 세금계산서를 발행한 대부분의 업체들이 그 세금계산서상의 공급가액을 포함하여 산출한 매출세액을 신고하였다."
"이유","피고인 1이 허위의 세금계산서에 의한 매입세액의 공제를 받는 것이 국가의 조세수입의 감소를 가져오게 될 것이라는 인식까지도 있었다고 보기는 어렵고 따라서 피고인 1에게 부가가치세 포탈에 관한 고의가 있었다고 볼 수 없다는 취지로 판단하였다."
"이유","앞서 본 법리와 기록에 비추어 살펴보면 이와 같은 원심의 판단은 정당하고, 거기에 상고이유에서 주장하는 조세포탈죄에 있어서의 고의에 관한 법리오해 등의 위법이 없다."
"이유","원심은 공소외 주식회사의 법인세 포탈과 관련하여, 피고인 1이 공소외 주식회사의 부가가치세를 신고하면서 매입처별세금계산서합계표를 허위 기재하여 제출한 행위 또는 공소외 주식회사의 법인세 과세표준과 세액을 신고하지 아니한 행위는 법인세의 포탈을 위한 사기 기타 부정한 행위로 볼 수 없다고 판단하였다."
"이유","앞서 본 법리와 기록에 비추어 살펴보면 이와 같은 원심의 판단은 정당하고, 거기에 상고이유에서 주장하는 조세포탈죄에 있어서의 사기 기타 부정한 행위에 관한 법리오해 등의 위법이 없다."
"이유","그러므로 원심판결 중 피고인 2 주식회사의 각 법인세 포탈로 인한 피고인들의 각 조세범 처벌법위반죄 부분은 파기되어야 할 것인 바이다."
"이유","이 부분과 원심이 유죄로 인정한 나머지 각 죄 부분은 형법 제37조 전단의 경합범 관계에 있어 1개의 형이 선고되어야 하므로 원심판결 중 유죄 부분 전부를 파기한다."
"이유","이 부분 사건을 다시 심리·판단하도록 원심법원에 환송하되, 검사의 상고를 기각하기로 하여 관여 대법관의 일치된 의견으로 주문과 같이 판결한다."
