"판시사항","일반적으로 출입이 허용되어 개방된 건조물에 관리자의 출입 제한이나 제지가 없는 상태에서 통상적인 방법으로 들어간 것이 건조물침입죄에서 규정하는 침입행위에 해당하는지 여부"
"판결요지","일반적으로 출입이 허용되어 개방된 건조물에 관리자의 출입 제한이나 제지가 없는 상태에서 통상적인 방법으로 들어갔다면, 사실상의 평온상태를 해치는 행위 태양으로 그 건조물에 들어갔다고 볼 수 없으므로 건조물침입죄에서 규정하는 침입행위에 해당하지 않는다."
"이유","주거침입죄의 구성요건적 행위인 침입은 주거침입죄의 보호법익과의 관계에서 해석하여야 하므로, 침입이란 주거의 사실상 평온상태를 해치는 행위 태양으로 주거에 들어가는 것을 의미한다."
"이유","사실상의 평온상태를 해치는 행위 태양으로 주거에 들어가는 것이라면 대체로 거주자의 의사에 반하겠지만, 단순히 주거에 들어가는 행위 자체가 거주자의 의사에 반한다는 주관적 사정만으로는 바로 침입에 해당한다고 볼 수 없다."
"이유","따라서 침입행위에 해당하는지는 거주자의 의사에 반하는지가 아니라 사실상의 평온상태를 해치는 행위 태양인지에 따라 판단되어야 한다."
"이유","따라서 일반적으로 출입이 허용되어 개방된 건조물에 관리자의 출입 제한이나 제지가 없는 상태에서 통상적인 방법으로 들어갔다면, 사실상의 평온상태를 해치는 행위 태양으로 그 건조물에 들어갔다고 볼 수 없으므로 건조물침입죄에서 규정하는 침입행위에 해당하지 않는다."
"이유","이 부분 공소사실은, 피고인들이 공동하여 2020. 5. 28. 11:00경 서울 강서구에 있는 ○○○○△△점에 방문한 ○○○○ 대표이사 등에게 해고와 전보 인사발령에 항의하기 위하여 위 ○○○○△△점장인 피해자 의사에 반하여 정문을 통해 ○○○○△△점 2층으로 들어가 건조물에 침입하였다는 것이다."
"이유","원심은, 피고인들이 관리자의 추정적 의사에 반하여 ○○○○△△점에 들어감으로써 건조물의 사실상의 평온을 해하였다는 이유로 이 부분 공소사실을 유죄로 인정한 제1심판단을 그대로 유지하였다."
"이유","OOO노동조합 간부와 조합원인 피고인들이 들어간 ○○○○△△점 2층 매장은 영업시간 중에는 출입자격 등의 제한 없이 일반적으로 개방되어 있는 장소이다."
"이유","피고인들은 공소사실과 같이 영업시간에 손님들이 이용하는 정문과 매장 입구를 차례로 통과하여 2층 매장에 들어가면서 보안요원 등에게 제지를 받거나 보안요원이 자리를 비운 때를 노려 몰래 들어가는 등 특별한 조치를 취하지도 아니하였다."
"이유","설령 피고인들이 이 부분 공소사실과 같이 ○○○○△△점 매장에 들어간 행위가 그 관리자의 추정적 의사에 반하였더라도, 그러한 사정만으로는 사실상의 평온상태를 해치는 행위 태양으로 출입하였다고 평가할 수 없다."
"이유","그럼에도 관리자의 추정적 의사를 주된 근거로 건조물침입죄의 성립을 인정한 원심판단에는 본죄의 성립에 관한 법리를 오해하여 판결에 영향을 미친 잘못이 있다."
"이유","피해자와 ○○○○ 대표이사 등 임직원들을 따라다니며 ""강제전배 멈추어라, 통합운영 하지마라, 직원들이 아파한다,부당해고 그만하라.""라고 고성을 지르는 방법으로 약 30분간 위력으로 피해자의 현장점검 업무를 방해하였다는 것이다."
"이유","원심은, 다수의 피고인들이 매장에서 피켓을 들고 피해자 등을 계속 따라다니며 고성을 지르고 이를 카메라로 촬영한 것은 피해자의 자유의사를 제압할 만한 위력을 행사한 것이라는 이유로 이 부분 공소사실을 유죄로 인정한 제1심판단을 그대로 유지하였다."
"이유","○○○○ 대표이사 등 임직원들이 ○○○○△△점 현장점검을 위해 온다는 소식을 듣고 노동조합 간부와 조합원인 피고인들이 해고와 전보 인사명령 등과 관련하여 대표이사에게 직접 복직과 전보 인사명령의 철회 등을 요청하려 한 것이었다."
"이유","반면에 당시 매장 현장점검에 참여한 인원은 피해자 등 약 20명 이상으로 대표이사를 비롯하여 대부분 간부급 경영진이다."
"이유","피고인 2는 노동조합 조합원들에게 소식을 알리기 위하여 나머지 피고인들의 활동을 촬영한 것이지 피해자 등의 모습을 촬영하려 한 것이 아니었다."
"이유","위와 같은 사실관계를 앞서 본 법리에 비추어 살펴보면, 피고인들이 공모하여 피해자 등의 자유의사를 제압하기에 족한 위력을 행사하였다고 단정하기는 어렵다."
"이유","피고인들의 행위로 피해자의 자유의사가 제압당하기 충분하였는지는 피해자의 의사나 진술에만 의존할 것이 아니라 피고인들의 행위 태양, 피고인들 인원, 성별과 나이 그리고 피해자 측 인원과 지위 등까지 고려해서 객관적으로 판단해야 한다."
"이유","많은 고객들이 방문하고 판매촉진행사가 진행되기도 하는 대형마트 식품매장에서 피고인들의 육성이 피해자의 현장점검 업무를 어렵게 할 정도의 소음이었다고 볼 만한 객관적인 증거도 없다."
"이유","피고인들은 인사정책 결정권과 인사 재량권을 가진 대표이사를 직접 만날 수 있는 기회에 해고와 전보 인사명령 등에 대하여 항의하거나 복직과 전보 인사명령의 철회를 요청하려 한 것이지 ○○○○△△점장인 피해자의 △△점 관리업무를 막거나 중단시키려는 의도를 가지고 공소사실과 같은 행위를 하였다고 보기는 어렵다."
"이유","원심에서 피고인들의 변호인은, ○○○○의 다른 지점에서도 대표이사의 현장점검 일정에 맞추어 조합원들이 비슷한 활동을 하였지만 그곳에서는 고소 등 별다른 조치가 없었다고 주장한 바도 있다."
"이유","그럼에도 피고인들이 ‘위력’을 행사하였다고 보아 업무방해죄의 성립을 인정한 원심판단에는 업무방해죄의 ‘위력’에 관한 법리를 오해하여 판결에 영향을 미친 잘못이 있다."
"이유","원심판결을 파기하고, 사건을 다시 심리·판단하도록 원심법원에 환송하기로 하여, 관여 대법관의 일치된 의견으로 주문과 같이 판결한다."
