"판시사항","구 공직선거법 제86조 제1항 제2호에서 정한 ‘선거운동의 기획에 참여하는 행위’의 의미 및 공무원이 선거운동의 기획에 ‘참여’하였다고 인정하기 위한 요건"
"판결요지","단지 형사소추에 필요한 증거라는 사정만을 들어 곧바로 형사소송에서 진실발견이라는 공익이 개인의 인격적 이익 등 보호이익보다 우월한 것으로 섣불리 단정하여서는 아니 된다."
"판결요지","구 공직선거법 제85조 제1항에서 ‘공무원의 지위를 이용하여’라는 개념은 공무원이 개인의 자격으로서가 아니라 공무원의 지위와 결부되어 선거운동을 하는 행위를 뜻하는 것이다."
"판결요지","공무원의 지위에 있기 때문에 특히 선거운동을 효과적으로 할 수 있는 영향력 또는 편익을 이용하는 것을 의미한다."
"판결요지","구체적으로는 그 지위에 수반되는 신분상의 지휘감독권, 직무권한, 담당사무 등과 관련하여 공무원이 직무를 행하는 사무소 내부 또는 외부의 사람에게 작용하는 것도 포함된다."
"판결요지","구 공직선거법 제86조 제1항 제2호의 ‘선거운동의 기획에 참여하는 행위’란 당선되게 하거나 되지 못하게 하기 위한 선거운동에는 이르지 아니한 것이다."
"판결요지","반드시 구체적인 선거운동을 염두에 두고 선거운동을 할 목적으로 그에 대한 기획에 참여하는 행위만을 의미하는 것으로 볼 수는 없다."
"판결요지","공무원이 선거운동의 기획에 ‘참여’하였다고 하기 위해서는 그러한 선거운동방안 제시 등으로 후보자의 선거운동 계획 수립에 직접적·간접적으로 관여하였음이 증명되어야 한다."
"판결요지","단지 공무원이 개인적으로 후보자를 위한 선거운동에 관한 의견을 표명하였다는 사정만으로 선거운동의 효율적 수행을 위한 일체의 계획 수립에 참여하였다고 단정할 수는 없다."
"이유","통신비밀보호법 제3조 제1항 본문은 “누구든지 이 법과 형사소송법 또는 군사법원법의 규정에 의하지 아니하고는 우편물의 검열·전기통신의 감청 또는 통신사실확인자료의 제공을 하거나 공개되지 아니한 타인 간의 대화를 녹음 또는 청취하지 못한다.”고 규정한다."
"이유","제4조는 “제3조의 규정에 위반하여 불법검열에 의하여 취득한 우편물이나 그 내용 및 불법감청에 의하여 지득 또는 채록된 전기통신의 내용은 재판 또는 징계절차에서 증거로 사용할 수 없다.”고 규정하고 있다."
"이유","이 사건 증거물로 제출된 전자우편은 이미 수신자인 OOO시장이 그 수신을 완료한 후에 수집된 것임을 알 수 있다."
"이유","국민의 인간으로서의 존엄과 가치를 보장하는 것은 국가기관의 기본적인 의무에 속하는 것이고 이는 형사절차에서도 당연히 구현되어야 하는 것이다."
"이유","국민의 사생활 영역에 관계된 모든 증거의 제출이 곧바로 금지되는 것으로 볼 수는 없으므로 법원으로서는 효과적인 형사소추 및 형사소송에서의 진실발견이라는 공익과 개인의 인격적 이익 등의 보호이익을 비교형량하여 그 허용 여부를 결정하여야 한다."
"이유","단지 형사소추에 필요한 증거라는 사정만을 들어 곧바로 형사소송에서의 진실발견이라는 공익이 개인의 인격적 이익 등의 보호이익보다 우월한 것으로 섣불리 단정하여서는 아니 된다."
"이유","원심판결 이유와 이 사건 기록에 의하여 살펴보면, OOO시OOO동장 직무대리의 지위에 있던 피고인이 원심 판시 일시경 OOO시장공소외 1에게 OOO시청 전자문서시스템을 통하여 OOO1통장인 공소외 2 등에게 OOO시장공소외 1을 도와 달라고 부탁하였다는 등의 내용을 담고 있는 이 사건 전자우편을 보낸 사실이다."
"이유","이 사건 전자우편을 발송한 피고인의 사생활의 비밀 내지 통신의 자유 등의 기본권을 침해하는 행위에 해당한다는 점에서 일응 그 증거능력을 부인하여야 할 측면도 있어 보인다."
"이유","이로 말미암아 피고인의 사생활의 비밀이나 통신의 자유가 일정 정도 침해되는 결과를 초래한다 하더라도 이는 피고인이 수인하여야 할 기본권의 제한에 해당한다고 보아야 할 것이다."
"이유","따라서 원심이 이 사건 전자우편과 그 내용에 터 잡아 수사기관이 참고인으로 소환하여 작성한 공소외 2, 3, 4에 대한 각 진술조서들의 증거능력을 인정한 조치는 정당하다고 할 것이다."
"이유","거기에 상고이유에서 주장하는 바와 같이 이 사건 전자우편 내지 위 진술조서들의 증거능력에 관한 법리를 오해한 위법이 없다."
"이유","그런데 OOO시청 소속 공무원인 제3자가 권한 없이 전자우편에 대한 비밀 보호조치를 해제하는 방법을 통하여 이 사건 전자우편을 수집한 사실을 알 수 있다."
"이유","구 공직선거법 제85조 제1항에서의 ‘공무원의 지위를 이용하여’라는 개념은 공무원이 개인의 자격으로서가 아니라 공무원의 지위와 결부되어 선거운동을 하는 행위를 뜻하는 것이다."
"이유","공무원의 지위에 있기 때문에 특히 선거운동을 효과적으로 할 수 있는 영향력 또는 편익을 이용하는 것을 의미한다."
"이유","구체적으로는 그 지위에 수반되는 신분상의 지휘감독권, 직무권한, 담당사무 등과 관련하여 공무원이 직무를 행하는 사무소 내부 또는 외부의 사람에게 작용하는 것도 포함된다."
"이유","항소이유로 삼은 바 없는 것을 상고심에 이르러 비로소 주장하는 것으로서 모두 적법한 상고이유가 되지 못한다."
"이유","같은 취지에서 원심이 피고인이 공무원의 지위를 이용하여 공소외 2 등을 상대로 선거운동을 하였다고 판단한 것은 정당하다."
"이유","원심은, 이 사건 전자우편의 내용이 인사권자인 OOO시장에게 그 고마움을 표현하고 이에 보답하기 위하여 자신의 행동을 과장한 것에 불과하다고 볼 여지가 있는 데다가, 그 수신 상대방인 공소외 5 등이 피고인으로부터 이 사건 전자우편의 내용과 같은 말을 듣지 못하였다고 일관되게 진술한 점이다."
"이유","피고인이 공소외 5 등과 전화통화를 하거나 만난 사실이 있다는 점에 대한 증거들만으로 공소사실에 대한 증명력이 있다고 보기에 부족한 점 등 그 판시와 같은 사정들을 종합하여 이 부분 주위적 및 예비적 공소사실 모두 그 범죄의 증명이 없다고 보아 각 무죄로 판단하였다."
"이유","위 각 증거들만으로는 이 사건 주위적 및 예비적 공소사실에 대한 유죄의 증명이 부족하다고 본 원심의 판단과 결론은 정당하다."
"이유","반드시 구체적인 선거운동을 염두에 두고 선거운동을 할 목적으로 그에 대한 기획에 참여하는 행위만을 의미하는 것으로 볼 수는 없으나, 공무원이 선거운동의 기획에 ‘참여’하였다고 하기 위해서는 그러한 선거운동방안 제시 등으로 후보자의 선거운동 계획 수립에 직접적·간접적으로 관여하였음이 증명되어야 할 것이다."
"이유","단지 공무원이 개인적으로 후보자를 위한 선거운동에 관한 의견을 표명하였다는 사정만으로 선거운동의 효율적 수행을 위한 일체의 계획 수립에 참여하였다고 단정할 수는 없다."
"이유","원심은 그 판시와 같은 사정을 종합하여 피고인이 OOO시장공소외 1을 위한 선거운동방안을 정리하여 일방적으로 이 사건 전자우편을 보낸 것이다."
"이유","거기에 원심의 전권에 속하는 증거의 취사선택 등에 있어서 논리와 경험의 법칙에 위배하고 자유심증주의의 한계를 벗어나거나 구 공직선거법 제86조 제1항 제2호의 해석에 관한 법리를 오해하는 등의 위법이 없다."
