"판시사항","공직선거법 제112조 제1항에서 기부행위의 상대방이 되는 ‘당해 선거구 안에 있는 자’ 및 ‘선거구민과 연고가 있는 자’의 의미"
"이유","공직선거법상 ‘선거운동’은 특정 선거에서 특정 후보자의 당선 또는 낙선을 도모한다는 목적의사가 객관적으로 인정될 수 있는 행위를 말한다."
"이유","이러한 목적의사는 특정한 선거에 출마할 의사를 밝히면서 그에 대한 지지를 부탁하는 등의 명시적인 방법뿐만 아니라 당시의 사정에 비추어 선거인의 관점에서 특정 선거에서 당선이나 낙선을 도모하려는 목적의사를 쉽게 추단할 수 있을 정도에 이른 경우에도 인정할 수 있다."
"이유","위와 같이 목적의사가 있었다고 추단하려면, 단순히 선거와의 관련성을 추측할 수 있다거나 선거에 관한 사항을 동기로 하였다는 사정만으로는 부족하고 특정 선거에서 당락을 도모하는 행위임을 선거인이 명백히 인식할 만한 객관적인 사정에 근거하여야 한다."
"이유","피고인들을 비롯하여 △△□□에 기반을 둔 정치인들이나 정치적인 활동을 해 온 사람들이 주축이 되어 행사 참가자들을 적극적으로 모집·동원하였다."
"이유","○○산악회의 행사는 목적지, 참가자의 연령과 성별, 행사의 규모와 구성 등이 통상적인 산악회의 행사에 비하여 매우 이례적인 모습을 보였다."
"이유","△△시장을 역임하고 2014년 △△시장 선거에 출마하였다가 낙선한 유력 정치인인 피고인 1을 위하여 ‘대화의 시간’이라는 순서를 별도로 진행하였다. ‘대화의 시간’은 체육관이나 강당 등에서 적지 않은 시간 동안 마이크와 스피커 등의 장치를 동원하여 이루어졌다."
"이유","‘대화의 시간’에 피고인 1은 주로 자신에 관한 의혹 해명, 과거의 업적 홍보, 향후 △△□□의 발전구상 등에 관하여 발언하였다."
"이유","△△□□청사의 이전 관련 의혹은 피고인 1이 2014년도에 △△광역시장 선거에서 낙선하였을 때 크게 부각된 낙선 요인 중 하나여서, 2016년 국회의원 선거에서 우선적으로 해명할 필요가 있는 문제였다."
"이유","피고인 1은 공소외인 의원이 제시한 △△□□ 발전방안 등에 관해서도 비판하는 발언을 하였는데, 공소외인 의원은 제20대 국회의원 선거 출마가 유력하였다."
"이유","당시 일부 참가자들은 2016. 4. 13.로 예정된 국회의원 선거를 직접 가리켜 ‘413 피고인 1’이라고 외치기도 하였다. ‘대화의 시간’의 사회자는 ‘피고인 1을 국회로 일할 수 있게 보내자’라고 발언하기도 하였다."
