"판시사항","어떤 정보가 당해 법인의 의사로 대통령령으로 정하는 방법에 따라 공개되기까지는 미공개중요정보 이용행위 금지의 대상이 되는 정보에 속하는지 여부"
"이유","구 자본시장과 금융투자업에 관한 법률 제174조 제1항은 ‘다음 각호의 어느 하나에 해당하는 자’는 ‘상장법인의 업무 등과 관련된 미공개중요정보를 특정증권 등의 매매, 그 밖의 거래에 이용하거나 타인에게 이용하게 하여서는 아니 된다.’고 규정하고 있다."
"이유","이어 같은 조항은 제1호부터 제6호까지 그 법인 및 법인의 임직원, 주요주주, 인·허가권자, 대리인, 사용인, 종업원 등 직무와 관련하여 미공개중요정보를 알게 된 자 또는 그들로부터 정보를 받은 자를 정하고 있다."
"이유","원심은 아래와 같은 이유로 공소외 1 주식회사의 2010년 말 대비 2011년 말 당기순이익이 흑자에서 적자로 전환될 뿐만 아니라, 당기순이익 및 영업이익의 감소폭이 매우 크다는 내용의 정보가 중요정보에 해당한다고 판단하였다."
"이유","여기에서 ‘중요정보’란 상장법인의 경영이나 재산상태, 영업실적 등 ‘투자자의 투자판단에 중대한 영향을 미칠 수 있는 정보’를 의미한다."
"이유","이는 합리적인 투자자가 유가증권을 매수 또는 계속 보유할 것인가 아니면 처분할 것인가를 결정하는 데 중요한 가치가 있는 정보, 바꾸어 말하면 일반 투자자들이 일반적으로 안다고 가정할 경우에 유가증권의 가격에 중대한 영향을 미칠 수 있는 사실을 말한다."
"이유","최근 사업연도 매출액, 영업손익 또는 당기순손익이 직전 사업연도 대비 100분의 30 이상 증가 또는 감소하였다는 내용은 구 유가증권시장 공시규정 제7조에 따라 신고의무가 부여된 주요경영사항에 해당한다."
"이유","공소외 1 회사의 2012. 2. 13.자 ‘매출액 또는 손익구조 30% 이상 변경’ 공시는 2011 회계연도 결산 결과 당기순이익이 직전 사업연도에 비하여 154.7% 감소하였고 영업이익이 65.2% 감소하였다는 내용으로 구성되어 있었다."
"이유","비록 공소외 1 회사 주식이 피고인의 주식 매각시점인 2012. 2. 10.을 전후하여 소위 ‘대선 테마주’로 분류되어 있었으나, 합리적인 투자자라면 대선 관련 여론조사 결과나 언론보도 이외에도 영업실적이나 자금흐름을 종합적으로 감안하여 투자를 결정할 것이다."
"이유","공소외 1 회사 주가가 2012. 2. 14. 다른 ‘OOO 테마주’ 주가에 비해서도 훨씬 큰 폭으로 하락한 점을 감안하면 이 사건 정보가 공소외 1 회사 주가에 영향을 주었다고 보인다."
"이유","심판결 이유를 앞에서 본 법리와 적법하게 채택한 증거에 비추어 보면, 위와 같은 원심의 판단에 상고이유 주장과 같이 논리와 경험의 법칙을 위반하여 자유심증주의의 한계를 벗어나거나 자본시장법 제174조에서 정한 중요정보에 관한 법리를 오해한 잘못이 없다."
"이유","어떤 정보가 당해 법인의 의사로 대통령령으로 정하는 방법에 따라 공개되기까지는 그 정보는 여전히 미공개중요정보 이용행위 금지의 대상이 되는 거래의 규제대상이 되는 정보에 속한다."
"이유","원심은 이 사건 정보가 2012. 1. 11.경 생성된 뒤 피고인이 공소외 1 회사 주식을 매각한 이후인 2012. 2. 13. 17:51 ‘매출액 또는 손익구조 30% 이상 변동’ 공시를 통해 같은 날 20:51 일반에 공개된 사실을 인정하였다."
"이유","위 인정 사실에 의하면, 이 사건 정보가 미공개정보에 해당한다는 원심의 결론은 앞서 본 법리에 기초한 것으로서, 원심의 판단에 상고이유 주장과 같이 논리와 경험의 법칙을 위반하여 자유심증주의의 한계를 벗어나거나 자본시장법 제174조에서 정한 미공개정보에 관한 법리를 오해한 잘못이 없다."
"이유","상고이유 제3, 4점에 관하여 미공개중요정보를 이용하였다고 하려면 그 정보가 매매 등 거래 여부와 거래량, 거래가격 등 거래조건을 결정하는 데 영향을 미친 것으로 인정되어야 한다."
