"판시사항","피고인들의 범행을 업무상횡령죄의 포괄일죄로 보아 특정경제범죄 가중처벌 등에 관한 법률 제3조 제1항 제2호를 적용할 수 있다고 본 원심의 조치에 법리오해의 위법이 있다고 한 사례"
"판결요지","여기서 말하는 ‘이득액’은 단순일죄의 이득액이나 혹은 포괄일죄가 성립되는 경우 이득액의 합산액을 의미하고, 경합범으로 처벌될 수죄에서 이득액을 합한 금액을 의미하는 것은 아니다."
"판결요지","수개의 업무상횡령 행위가 포괄하여 일죄로 되기 위해서는 피해법익이 단일하고, 범죄의 태양이 동일하며, 단일 범의의 발현에 기인하는 일련의 행위라고 인정되어야 한다."
"판결요지","위와 같은 개별 협약 및 정부출연금 위탁관계를 하나로 묶어 주는 포괄적인 법률관계가 존재하는 등 특별한 사정이 없는 한 甲 회사와 위 기관들 사이에는 각 과제별로 별개의 정부출연금 위탁관계가 성립한다고 보는 것이 타당하다."
"이유","여기서 ‘공공연히 알려져 있지 아니하다’는 것은 그 정보가 간행물 등의 매체에 실리는 등 불특정 다수인에게 알려져 있지 않기 때문에 보유자를 통하지 아니하고는 그 정보를 통상 입수할 수 없는 것을 말한다."
"이유","공소외 주식회사의 전기이중층커패시터 관련 기술은 정부에 의해 차세대 성장동력기술 중의 하나로 선정되고 정부출연금이 지원될 정도로 공인된 기술이라는 점 등을 이유로, 이 사건 정보가 공공연히 알려져 있지 아니하고 독립된 경제적 가치를 가진 정보에 해당한다고 판단하였다."
"이유","나아가 원심은 역시 제1심판결의 인용을 통해 ①공소외 주식회사가 2003년경부터 사내보안 규정을 마련하여 운영하는 한편 2008. 1.경부터 그 규정을 보다 세분화하여 별도의 전산보안 규정을 마련하여 운영하였다."
"이유","원심이 인용한 제1심판결의 채택 증거들을 원심판결 이유 및 앞서 본 법리에 비추어 살펴보면, 원심의 위와 같은 사실인정과 판단은 정당한 것으로 수긍이 간다."
"이유","거기에 상고이유에서 주장하는 바와 같이 영업비밀의 요건에 관한 법리를 오해하거나 논리와 경험칙에 위배하여 자유심증주의의 한계를 벗어난 위법이 없다."
"이유","한편 위 피고인들의 나머지 상고이유 주장은 사실심 법관의 전권에 속하는 사실인정을 탓하는 취지에 불과한 것이거나 이 사건 정보가 영업비밀에 해당하지 않는다는 독자적 견해를 전제로 한 것이므로 받아들일 수 없다."
"이유","여기서 말하는 ‘이득액’은 단순일죄의 이득액이나 혹은 포괄일죄가 성립되는 경우의 이득액의 합산액을 의미하는 것이고 경합범으로 처벌될 수죄에 있어서 그 이득액을 합한 금액을 의미하는 것은 아니다."
"이유","한편 수개의 업무상횡령 행위가 포괄하여 1죄로 되기 위해서는 그 피해법익이 단일하고, 범죄의 태양이 동일하며, 단일 범의의 발현에 기인하는 일련의 행위라고 인정되어야 한다."
"이유","위 정부 산하 기관 등은 각기 다른 시기에 서로 다른 유형의 법령 등에 근거하여 정부과제별로 사업자 선정 및 협약 체결을 하였다."
"이유","개별 정부과제의 내용이나 사업기간도 모두 다른 사실, 각 정부과제별로 지원되는 정부출연금은 각기 다른 금융계좌에 입금되어 개별 과제별로 지정된 목적과 용도에만 사용하도록 되어 있는 사실을 알 수 있다."
"이유"," 이러한 사실관계에 비추어 보면, 위와 같은 개별 협약 및 정부출연금 위탁관계를 하나로 묶어 주는 포괄적인 법률관계가 존재하는 등의 특별한 사정이 없는 한, 공소외 주식회사와 위 정부 산하 기관들 사이에는 9개의 정부과제별로 별개의 정부출연금 위탁관계가 성립한다고 봄이 상당하다."
"이유","위 피고인들의 이 사건 정부출연금 횡령 범행은 포괄하여 1개의 업무상횡령 범죄에 해당하고 그 횡령금액의 합계액이 5억 원 이상이 되므로 특경법 제3조 제1항 제2호를 적용하여 가중처벌할 수 있다고 본 제1심의 판단을 그대로 유지하였다."
"이유","정부과제별 출연금에 대한 횡령액을 별도로 산정할 경우 그 횡령액이 특경법 제3조 제1항 소정의 금액에 미달할 여지가 있는 이 사건에서 위와 같은 위법은 판결에 영향을 미쳤다고 보아야 한다."
"이유","이상에서 본 바와 같이 피고인 3, 4에 대한 특경법 위반의 공소사실을 유죄로 인정한 원심의 판단은 위법하여 파기되어야 한다."
"이유","원심은 이 부분 공소사실과 위 피고인들에 대한 나머지 공소사실을 형법 제37조 전단의 경합범 관계에 있는 것으로 보아 그에 대하여 각 하나의 형을 선고한 제1심판결을 그대로 유지하였으므로, 원심판결 중 위 피고인들에 대한 부분은 전부 파기되어야 한다."
"이유","원심판결 중 피고인 3, 4에 대한 부분을 파기하고 이 부분 사건을 다시 심리·판단하게 하기 위하여 원심법원에 환송하기로 하며, 피고인 1, 2의 상고를 모두 기각하기로 하여, 관여 대법관의 일치된 의견으로 주문과 같이 판결한다."
