"판시사항","근로감독관이 특별사법경찰관으로서 중대재해와 관련한 산업안전보건법 위반 내지 근로기준법 위반을 수사하는 절차가 형사소송법 등에 따른 절차인지 여부"
"판결요지","구 공인노무사법 제2조 제1항 제3호는 공인노무사가 의뢰인에게 노동 관계 법령에 관한 상담을 할 수 있다고 규정하고 있다."
"판결요지","따라서 공인노무사가 의뢰인에게 노동 관계 법령에 관한 내용을 넘어서 수사절차에 적용되는 형사소송법등에 관한 내용까지 상담을 하는 것은 노동 관계 법령에 관한 상담을 하는 과정에서 불가피하게 이루어졌다는 등의 특별한 사정이 없는 한 구 공인노무사법에서 정한 직무의 범위를 벗어난 것으로 보아야 한다."
"판결요지","구 공인노무사법 제2조 제1항 제1호는 공인노무사가 ‘노동 관계 법령에 따라 관계 기관에 대하여 행하는 신고·신청·보고·진술·청구 및 권리 구제 등’을 대행 또는 대리할 수 있다고 규정하고 있다."
"판결요지","여기서 ‘노동 관계 법령에 따라 관계 기관에 대하여 행하는 신고 등’이란 그 문언상 ‘노동 관계 법령에 근거하여 관계 기관에 대하여 행하는 신고 등’을 의미한다."
"판결요지","구 공인노무사법 제2조 제1항 제2호는 ‘노동 관계 법령에 따른 모든 서류’를 공인노무사가 작성할 수 있다고 규정하고 있는데, 제2호에서 정한 서류도 제1호와 마찬가지로 노동 관계 법령에 근거가 있을 것을 요구한다고 보아야 한다."
"이유","‘참고인진술조서 예상문답’, ‘산업안전보건법 형사사건 처리절차’, ‘피의자별 적용법령’ 등의 문서를 기초로 법률상담을 하거나 법률 관계 문서인 산업안전보건법 의견서를 작성하고, 그 대가로 합계 2,196,050,000원을 수수하였다."
"이유","공인노무사법 제2조 제1항 제2호는 ‘노동 관계 법령에 따른 모든 서류의 작성과 확인’, 같은 항 제3호는 ‘노동 관계 법령과 노무관리에 관한 상담·지도’를 공인노무사가 수행할 수 있는 직무로 규정하고 있다."
"이유","피고인 등은 공인노무사법 시행령에서 정한 노동 관계 법령인 산업안전보건법을 위반하였는지 여부가 문제 되는 건설현장에서의 사망 사고 등 산업재해에 관한 업무를 처리하면서 법률상담 및 법률 관계 문서 작성을 하였다."
"이유","구 산업안전보건법 제2조에 따르면, 산업재해란 근로자가 업무에 관계되는 건설물·설비·원재료·가스·증기·분진 등에 의하거나 작업 또는 그 밖의 업무로 인하여 사망 또는 부상하거나 질병에 걸리는 것을 말한다."
"이유","산업안전보건법 등을 담당하는 근로감독관의 직무집행에 필요한 사항을 규정한 고용노동부훈령인 「근로감독관 집무규정(산업안전보건)」은 중대재해 등이 발생한 경우 근로감독관이 즉시 재해 발생원인 등에 대한 조사에 착수하여야 한다."
