"판시사항","근로기준법 제43조 제1항, 제2항, 제109조 제1항의 취지 및 사용자가 임금 지급기일에 임금 전액을 지급하지 아니한 경우, 위 각 규정 위반죄가 성립하는지 여부"
"이유","같은 조 제2항은 “임금은 매월 1회 이상 일정한 날짜를 정하여 지급하여야 한다.”고 규정하고 있으며, 나아가 법 제109조 제1항은 법 제43조를 위반한 경우 3년 이하의 징역 또는 2,000만 원 이하의 벌금에 처하도록 규정하고 있다."
"이유","사용자가 임금의 지급기일에 임금 전액을 지급하지 아니한 경우에는 위 각 법규정을 위반한 죄가 성립한다고 할 것이다."
"이유","이 사건 공소장에 기재된 적용법조에는 ‘근로기준법 제109조 제1항, 제43조’라고 기재되어 있는 사실, 피고인은 제1심 제1회 공판기일에 출석하여 이 사건 공소사실을 모두 인정한다고 진술하였다."
"이유","이에 대해 피고인만이 항소를 제기하였는데, 피고인은 항소이유로 ‘근로자들이 시간외 수당을 서류가 아닌 구두로만 신청한 이상 그 지급의무가 없다."
"이유","이에 원심은 그 채택 증거를 종합하여 피고인이 근로자들의 2012년 1월 시간외 수당과 2012년 2월분 정기상여금을 그 지급기일보다 늦게 지급한 사실을 인정하면서도 앞서 본 바와 같은 이유로 제1심판결을 파기하고 피고인에게 무죄를 선고한 사실 등을 알 수 있다."
"이유","근로자의 생활안정을 도모하고자 하는 위 규정의 입법 취지 등에 비추어 사용자가 그 전액을 지급기일에 지급하지 아니하였다면 이로써 법 제109조 제1항, 제43조 제1항 위반죄가 성립한다고 해석함이 타당하다."
"이유","형벌법규를 해석하면서 가능한 문언의 의미 내에서 해당 규정의 입법 취지와 목적 등을 고려한 법률체계적 연관성에 따라 그 문언의 논리적 의미를 분명히 밝히는 체계적·논리적 해석방법은 그 규정의 본질적 내용에 가장 접근한 해석을 위한 것으로서 죄형법정주의 원칙에 부합하기 때문이다."
"이유","그 밖에 제1심에서부터 원심 변론종결에 이르기까지 피고인의 주장내용 기타 심리의 전 과정에 비추어 볼 때 이 사건 공소사실이 법 제43조 제1항 및 제2항에 위반되는 행위 모두를 포함하고 있는 것으로 해석한다고 하여 피고인의 방어권이 침해되었다고 보기도 어렵다."
"이유","임금의 기일 내 전액 지급을 위하여 최선의 노력을 다하였으나 그 지급기일에 지급할 수 없었던 불가피한 사정이 인정되는지 여부 등을 가려 피고인의 유·무죄를 판단하였어야 할 것이다."
"이유","이러한 원심의 판단에는 임금 미지급으로 인한 법 제109조, 제43조 위반죄의 성립에 관한 법리를 오해하여 필요한 심리를 다하지 아니한 잘못이 있다."
"이유","그러므로 원심판결을 파기하고 사건을 다시 심리·판단하도록 원심법원에 환송하기로 하여, 관여 대법관의 일치된 의견으로 주문과 같이 판결한다."
