"판시사항","차입매수 또는 LB 방식의 기업인수를 주도한 관련자들에게 배임죄가 성립하는지 판단하는 기준[2] 경영상의 판단과 관련하여 기업 경영자에게 배임의 고의가 있었는지 판단하는 방법"
"이유","이러한 차입매수에 관하여는 이를 따로 규율하는 법률이 없는 이상 일률적으로 차입매수방식에 의한 기업인수를 주도한 관련자들에게 배임죄가 성립한다거나 성립하지 아니한다고 단정할 수 없는 것이다."
"이유","배임죄의 성립 여부는 차입매수가 이루어지는 과정에서의 행위가 배임죄의 구성요건에 해당하는지 여부에 따라 개별적으로 판단되어야 한다."
"이유","그러한 인식이 없는데 단순히 본인에게 손해가 발생하였다는 결과만으로 책임을 묻거나 주의의무를 소홀히 한 과실이 있다는 이유로 책임을 물을 수는 없다."
"이유","공소외 1 회사가 공소외 2 회사의 구주를 전부 소각하고 신주를 100% 취득하여 공소외 2 회사의 1인 주주가 됨으로써 공소외 1 회사와 공소외 2 회사의 경제적인 이해관계가 일치하게 된 점이다."
"이유","공소외 1 회사는 공소외 2 회사 인수의 우선협상대상자로 지정받은 후 2006. 5. 23. 공소외 2 회사와 이 사건 투자계약을 체결할 당시부터 공소외 2 회사와 합병을 전제로 인수계약을 논의하였다."
"이유","2006. 10. 2.경 합병 예정을 대외적으로 공시한 후 2007. 11. 12.경 공소외 2 회사를 흡수합병함으로써 법률적으로도 합일하여 동일한 인격체가 되었다."
"이유","공소외 1 회사는 공소외 2 회사 인수 당시 공소외 2 회사에 비하여 자산의 규모는 작지만 부채비율은 공소외 2 회사의 363%에 비하여 낮은 양호한 상태였다."
"이유","△△△△△로부터 150억 원을 투자받아 기존의 통신기기 제조·판매업 외에 무선인터넷전화, 인터넷티브이 사업을 계획하고 있어서 공소외 2 회사를 인수할 경영상 필요가 있었다."
"이유","피고인이 공소외 2 회사 인수절차 진행 중 자신이 보유하던 공소외 1 회사 지분전부를 공소외 3 주식회사에 매각하고 그 과정에서 시세차익을 취득하기는 하였다."
"이유","이는 공소외 1 회사의 투자자인 △△△△△가 공소외 2 회사 인수에 반대하면서 풋옵션을 행사하여 자신이 보유하는 공소외 1 회사 지분을 공소외 1 회사가 인수할 것을 청구하자, 피고인이 공소외 3 주식회사에 대하여 공소외 1 회사 대신 위 △△△△△ 지분을 인수할 것을 요청하였다."
"이유","피고인에게 공소외 1 회사에 이익을 주고 공소외 2 회사에 손해를 가하려는 의사, 즉 배임의 범의가 있었다고 볼 수도 없다고 보아, 이 부분 공소사실을 무죄로 판단하였다."
"이유","원심판결 이유를 앞서 본 법리와 기록에 비추어 살펴보면, 원심이 설시한 이유 중 다소 미흡한 부분이 없지 아니한다."
"이유","거기에 상고이유 주장과 같이 논리와 경험의 법칙을 위반하여 자유심증주의의 한계를 벗어나거나 업무상배임죄의 성립 및 배임죄의 고의에 관한 법리를 오해하고 필요한 심리를 다하지 아니함으로써 판결에 영향을 미친 위법이 없다."
"이유","원심판결 및 원심이 유지한 제1심이 적법하게 채택한 증거들에 비추어 살펴보면, 원심이 그 판시와 같은 이유로 이 사건 공소사실 중 특정경제범죄 가중처벌 등에 관한 법률 위반의 점을 무죄로 인정한 제1심판결을 그대로 유지한 것은 정당하다."
"이유","거기에 상고이유 주장과 같이 논리와 경험의 법칙을 위반하여 자유심증주의의 한계를 벗어나거나 업무상횡령죄의 성립 및 횡령의 고의에 관한 법리를 오해하고 필요한 심리를 다하지 아니한 위법이 없다."
"이유","원심판결 및 원심이 유지한 제1심이 적법하게 채택한 증거들에 비추어 살펴보면, 원심이 그 판시와 같은 이유로 이 사건 공소사실 중 사기의 점을 무죄로 인정한 제1심판결을 그대로 유지한 것은 정당하다."
"이유","거기에 상고이유 주장과 같이 논리와 경험의 법칙을 위반하여 자유심증주의의 한계를 벗어나거나 사기죄의 성립 및 사기의 고의에 관한 법리를 오해하고 필요한 심리를 다하지 아니한 위법이 없다."
