"판시사항","법관의 서명날인이 없는 재판서에 의한 판결은 형사소송법 제383조 제1호가 정한 ‘판결에 영향을 미친 법률의 위반이 있는 때’에 해당하여 파기되어야 하는지 여부이다."
"이유"," 피고인 1, 피고인 2, 피고인 3, 피고인 4, 피고인 5, 피고인 6, 피고인 7, 피고인 8에 대한 직권 판단 형사소송법 제38조에 따르면 재판은 법관이 작성한 재판서에 의하여야 한다."
"이유","재판장이 서명날인할 수 없는 때에는 다른 법관이 그 사유를 부기하고 서명날인하여야 한다. 이러한 법관의 서명날인이 없는 재판서에 의한 판결은 형사소송법 제383조 제1호가 정한 ‘판결에 영향을 미친 법률의 위반이 있는 때’에 해당하여 파기되어야 한다."
"이유","기록을 살펴보면, 제1심 법원은 제3회 공판기일에 판결서에 의하여 판결을 선고하였으나 그 판결서에 재판한 법관의 서명날인이 누락되어 있다."
"이유","원심은 이를 간과한 채 위 피고인들의 항소를 기각하였음을 알 수 있다. 따라서 원심 판결 중 위 피고인들에 대한 부분에는 판결에 영향을 미친 법률의 위반이 있어 이를 그대로 유지할 수 없다."
"이유","피고인 9에 대한 직권 판단 원심은 피고인 9의 공인중개사 법 위반 부분에 대하여 구 공인중개사 법 제48조 제3호, 제33조 제1항 제7호를 적용하여 유죄로 판단하였다."
"이유","공인중개사 법 제10조 제1항 제11호, 제2항은 ‘이 법을 위반하여 300만 원 이상의 벌금형의 선고를 받고 3년이 지나지 아니한 자는 중개사무소의 개설등록을 할 수 없고, 소속 공인중개사 또는 중개보조원이 될 수 없다.’고 규정한다."
"이유","같은 법 제38조 제1항 제3호, 제39조 제1항 제1호 본문은 위 결격사유에 근거한 중개사무소 개설등록 취소와 업무정지 처분에 관하여 규정하고 있다. "
"이유"," 같은 법 제10조의2는 ""형법 제38조에도 불구하고 제48조 및 제49조에 규정된 죄와 다른 죄의 경합범에 대하여 벌금형을 선고하는 경우에는 이를 분리 선고하여야 한다.""라고 규정하고 있다."
"이유","위 규정의 취지는 공인중개사 법 위반 죄가 아닌 다른 죄가 개설등록의 결격사유 등과 관련 있는 공인중개사 법 위반 죄의 벌금형 양형에 영향을 미치는 것을 최소화하기 위하여 형법상 경합범 처벌례에 관한 조항의 적용을 배제하고 분리하여 벌금형을 따로 선고하여야 한다는 것이다."
"이유","처벌받는 가장 무거운 죄가 공인중개사 법 위반 죄인지를 묻지 않고 공인중개사 법 위반 죄와 상상적 경합관계에 있는 모든 죄를 통틀어 공인중개사 법 위반 죄로 취급하여 하나의 형을 선고하여야 한다."
"이유","나머지 공인중개사법 위반죄 및 그와 상상적 경합관계에 있어 공인중개사법 위반죄로 취급되는 부분과 분리하여 벌금형을 따로 선고하여야 한다."
"이유","그럼에도 원심은 위 각 죄에 대하여 형법 제38조를 적용하여 하나의 벌금형을 정하여 선고하였는바, 원심판결에는 공인중개사법 제10조의2가 정한 벌금형의 분리 선고에 관한 법리를 오해하여 판결에 영향을 미친 잘못이 있다. 따라서 원심판결 중 피고인 9에 대한 부분은 전부 파기되어야 한다."
"이유","그러므로 상고이유에 관한 판단을 생략한 채 원심판결 중 피고인들에 대한 부분을 파기하고, 이 부분 사건을 다시 심리·판단하도록 원심법원에 환송하기로 하여, 관여 대법관의 일치된 의견으로 주문과 같이 판결한다."
