"판시사항","헌법재판소의 위헌결정으로 효력을 상실한 소송촉진등에관한특례법 제23조를 적용하여 진행한 소송절차에 따라 유죄를 선고한 제1심판결에 대하여 항소심이 취해야 할 조치"
"판결요지","제1심 공판절차에서 피고인에 대한 송달불능보고서가 접수된 때로부터 6월이 경과하도록 피고인의 소재를 확인할 수 없는 때에는 일정한 절차에 따라 피고인의 진술 없이 재판할 수 있도록 규정한 소송촉진등에관한특례법 제23조는 헌법재판소의 위헌결정에 의하여 효력을 상실하였으므로 위 법률규정이 정한 절차에 따라서는 재판할 수 없다."
"판결요지","이와 같이 법률이 정한 형사처벌의 대상을 확장하는 내용의 법규는 법률이나 법률의 구체적 위임에 의한 명령 등에 의하지 않으면 아니 된다고 할 것이므로, 결국 모법의 위임에 의하지 아니한 같은법시행령 제12조는 죄형법정주의의 원칙에 위배되고 위임입법의 한계를 벗어난 것으로서 무효이다."
"이유","기록에 의하면, 제1심은 피고인에 대한 공판기일 소환장이 송달불능된 후 소재탐지촉탁에도 불구하고 피고인의 소재가 확인되지 아니하자, 변론기일 소환장을 공시송달한 다음 위 특례법 제23조를 적용하여 피고인의 진술 없이 소송절차를 진행한 끝에 피고인에 대하여 유죄판결을 선고하였는 바이다."
"이유","사용자는 근로자가 사망 또는 퇴직한 경우에는 그 지급사유가 발생한 때로부터 14일 이내에 임금·보상금 기타 일체의 금품을 지급하여야 한다."
"이유","법 제109조에서 법 제30조에 위반한 자에 대한 처벌규정을 두었으며, 한편 구 근로기준법시행령 제12조는 ""법 제30조 단서의 규정에 의한 기일연장은 3월을 초과하지 못한다.""라고 규정하고 있다."
"이유","이와 같이 법률이 정한 형사처벌의 대상을 확장하는 내용의 법규는 법률이나 법률의 구체적 위임에 의한 명령 등에 의하지 않으면 아니 된다고 할 것이므로, 결국 모법의 위임에 의하지 아니한 시행령 제12조는 죄형법정주의의 원칙에 위배되고 위임입법의 한계를 벗어난 것으로서 무효라고 할 것이다."
"이유","한편 기록에 의하면, 피고인과 피해자인 근로자들은 1995. 6. 13.경 피해자들의 1995. 6. 1.부터 같은 달 13.까지의 임금과 퇴직금을 사업체 소유의 토지와 건물 및 기계 등의 경매절차에서 지급받기로 합의한 바 있다."
"이유","실제로 피해자들은 1997. 3.경 위 경매절차의 경락대금에서 미지급된 임금과 퇴직금을 전액 청산받은 사실을 알 수 있으므로, 피고인이 위와 같이 청산기일의 연장합의를 한 이상, 기일연장의 합의가 3월을 초과하였는지에 관계없이 법 제30조 단서에 의하여 형사처벌의 대상에서 제외된다고 해석하여야 할 것이다."
"이유","원심이 피고인의 피해자들에 대한 위 임금·퇴직금 미청산의 점을 유죄라고 판단한 것은 필경 법 제30조 단서에 의하여 유효한 기일연장의 합의는 시행령 제12조에 정한 3월 이내로 제한됨을 전제로 한 것으로 보이는 바이다."
"이유","그렇다면 원심판결에는 위 법과 시행령의 효력에 관한 법리를 오해함으로써 판결에 영향을 미친 위법이 있다고 하지 않을 수 없다."
"이유","사건을 다시 심리·판단하게 하기 위하여 원심법원에 환송하기로 하여 관여 대법관 전원의 일치된 의견으로 주문과 같이 판결한다."
