"판시사항","국가보안법 제7조 제5항의 죄가 이른바 목적범에 해당하는지 여부 및 행위자에게 ‘이적행위를 할 목적’이 있었다는 점에 대한 증명책임 소재와 증명 방법"
"이유","국가보안법상 이적표현물로 인정되기 위해서는 그 표현물의 내용이 국가보안법의 보호법익인 국가의 존립·안전과 자유민주적 기본질서를 위협하는 적극적이고 공격적인 것이어야 한다."
"이유","표현물에 이와 같은 이적성이 있는지 여부는 표현물의 전체적인 내용뿐만 아니라 그 작성의 동기는 물론 표현행위 자체의 태양 및 외부와의 관련사항, 표현행위 당시의 정황 등 제반 사정을 종합하여 결정하여야 한다."
"이유","한편 국가보안법 제7조 제5항의 죄는 제1, 3, 4항에 규정된 이적행위를 할 목적으로 문서·도화 기타의 표현물을 제작·수입·복사·소지·운반·반포·판매 또는 취득하는 것으로서 이른바 목적범에 해당한다."
"이유","국가보안법 제7조 제5항 범죄의 성립을 인정할 수 있으려면 검사가 행위자에게 이적행위를 할 목적이 있었다는 점을 증명하여야 한다."
"이유","원심판결 이유를 앞서 본 법리에 비추어 살펴보면, 원심이 그 판시와 같은 이유를 들어 이 사건 공소사실이 모두 유죄로 인정된다고 판단한 것은 정당하다."
"이유","거기에 상고이유 주장과 같이 국가보안법 제7조 제5항에서 정한 이적표현물이나 이적행위 목적에 관한 법리를 오해한 위법이 없다."
"이유","국가보안법 제7조 제5항에 규정된 ‘반포행위’란 이적표현물을 불특정 또는 다수인에게 배부하여 지득할 수 있는 상태에 두는 것을 말한다."
"이유","한편 방조는 정범이 범행을 한다는 것을 알면서 그 실행행위를 용이하게 하는 종범의 행위이므로 종범은 정범의 실행을 방조한다는 방조의 고의와 정범의 행위가 구성요건에 해당한다는 점에 대한 정범의 고의가 있어야 한다."
"이유","나아가 원심은 그 판시와 같은 이유로 피고인이 ○○○○○○ 트위터 계정 운영자의 이적표현물 반포행위를 방조할 범의로 위 계정을 팔로우한 것이라고 보기는 어렵다고 판단하였다."
"이유","원심판결 이유를 앞서 본 법리와 기록에 비추어 살펴보면, 원심의 위와 같은 판단은 정당하고, 거기에 상고이유 주장과 같이 논리와 경험의 법칙을 위반하여 자유심증주의의 한계를 벗어나거나 국가보안법 제7조 제5항에서 정한 이적표현물의 ‘반포’ 또는 그 ‘방조’에 관한 법리를 오해한 위법이 없다."
"이유","원심은 그 판시와 같은 사정을 종합하여, ○○○○○○ OOO 계정은 북한이 운영 및 관리하는 대남선전용 계정이어서 피고인이 위 계정을 팔로우한 상태를 유지한 것만으로는 위 계정에 게시된 이 사건 169개 게시물을 관리하였다고 보기 어렵다."
"이유","원심판결 이유를 관련 법리와 기록에 비추어 살펴보면, 원심의 위와 같은 판단은 정당하고, 거기에 상고이유 주장과 같이 논리와 경험의 법칙을 위반하여 자유심증주의의 한계를 벗어나거나 국가보안법 제7조 제5항에서 정한 이적표현물의 ‘소지’에 관한 법리를 오해한 위법이 없다."
"이유","원심판결 이유를 제1의 가.항에서 본 법리와 기록에 비추어 살펴보면, 원심이 그 판시와 같은 이유로 이 사건 공소사실 중 제1심판결 별지 범죄일람표 순번 52, 71, 116, 248에 관한 국가보안법위반의 점을 모두 무죄로 판단한 제1심판결을 유지한다."
"이유","이 사건 공소사실 중 2012. 8. 10.경 및 2012. 8. 24.경 게시된 게시물에 관한 국가보안법위반의 점을 모두 무죄로 판단한 것은 정당하다."
"이유","거기에 상고이유 주장과 같이 논리와 경험의 법칙을 위반하여 자유심증주의의 한계를 벗어나거나 국가보안법 제7조 제5항에서 정한 이적표현물에 관한 법리를 오해한 위법이 없다."
