"판시사항","풍속영업의 규제에 관한 법률 제3조 제2호에서 정한 음란행위 ‘알선’ 및 ‘음란행위’의 의미 / 풍속영업을 하는 자의 행위가 ‘음란행위의 알선’에 해당하는지 판단하는 기준"
"이유","풍속영업의 규제에 관한 법률 제3조 제2호는 풍속영업을 하는 자에 대하여 ‘음란행위를 알선하는 행위’를 금지하고 있다."
"이유","여기에서 음란행위를 ‘알선’하였다고 함은 풍속영업을 하는 자가 음란행위를 하려는 당사자 사이에 서서 이를 중개하거나 편의를 도모하는 것을 의미한다."
"이유","따라서 음란행위의 ‘알선’이 되기 위하여 반드시 그 알선에 의하여 음란행위를 하려는 당사자가 실제로 음란행위를 하여야만 하는 것은 아니고, 음란행위를 하려는 당사자들의 의사를 연결하여 더 이상 알선자의 개입이 없더라도 당사자 사이에 음란행위에 이를 수 있을 정도의 주선행위만 있으면 족하다."
"이유","한편 풍속영업규제법 제3조 제2호에서 규정하고 있는 ‘음란행위’란 성욕을 자극하거나 흥분 또는 만족시키는 행위로서 일반인의 정상적인 성적 수치심을 해치고 선량한 성적 도의관념에 반하는 것을 의미한다."
"이유","3명의 남자 손님들은 2015. 10. 28. 22:20경 피고인들이 운영 및 관리하는 이 사건 유흥주점을 찾아 그곳 3번방으로 들어갔다."
"이유","약 10분 후에 3명의 여성종업원들이 이 사건 유흥주점의 대기실에서 원피스로 갈아입은 다음 위 3번방으로 들어가 각 남자 손님들의 파트너가 되었고, 여성종업원들은 자신들이 착용한 원피스와 비슷한 모양의 여성용 원피스를 남자 손님들에게 소위 ‘커플룩’이라고 제공하면서 위 원피스로 갈아입으라고 하였다."
"이유","남자 손님들 중 2명은 속옷을 모두 벗은 채 여성종업원으로부터 건네받은 원피스만을 착용하였고, 나머지 1명은 속옷 위에 여성종업원으로부터 건네받은 원피스를 착용하였다."
"이유","피고인들이 유흥주점에 비치해 두었다가 남자 손님들에게 제공하여 갈아입게 하였던 여성용 원피스는 재질이 얇고 미끄러운 소재로 만들어졌을 뿐만 아니라 남성이 입는 경우에도 여유 공간이 남을 정도로 사이즈가 크고 헐렁한 형태이다."
"이유","같은 날 23:15경 경찰관들이 이 사건 유흥주점을 단속할 당시 여성용 원피스만 입은 남자 손님 1명은 절반 정도 노출된 여성종업원 1명의 가슴을 손으로 만지고 있었고, 또 다른 여성종업원 1명은 여성용 원피스만 입은 다른 남자 손님 1명의 아래부위를 만지고 있었다."
"이유","앞서 본 법리에 비추어 위와 같은 사실관계를 살펴보면, 피고인들은 공모하여 풍속영업을 하는 자가 준수하여야 할 금지규범을 어기고 이 사건 유흥주점의 남자 손님들과 여성종업원들 사이에 서서 음란행위를 알선하였다고 평가함이 타당하다."
"이유","풍속영업에 해당하는 유흥주점영업은 유흥종사자를 두거나 유흥시설을 설치할 수 있고 손님이 노래를 부르거나 춤을 추는 행위가 허용되는 영업인데, 이때 유흥종사자란 손님과 함께 술을 마시거나 노래 또는 춤으로 손님의 유흥을 돋우는 부녀자를 말한다."
"이유","피고인들의 영업방식, 즉 이 사건 유흥주점에 여성용 원피스를 비치하고 여성종업원으로 하여금 이를 남자 손님에게 제공하여 갈아입게 한 다음 그 상태에서 유흥을 돋우게 한것 자체가 유흥주점의 일반적 영업방식으로는 보기 어려운 매우 이례적인 것이므로 결국 피고인들이 적극적으로 도모한 것으로 볼 수 있다."
"이유","남자 손님과 여성종업원이 함께 있었던 방이 폐쇄된 공간이라는 점까지 함께 고려하면, 정상적인 성적 수치심을 무뎌지게 하고 성적 흥분을 의식적으로 유발하고자 한 방식으로 볼 여지가 크다."
"이유","그런데도 원심은 여성종업원의 접객행위가 음란행위라고 단정하기에 부족하고 피고인들이 이를 알선하였다고 보기 어렵다는 등 판시와 같은 이유를 들어, 이 사건 공소사실을 유죄로 판단한 제1심판결을 파기하고 무죄로 판단하였다."
"이유","이러한 원심의 판단에는 풍속영업규제법 제3조 제2호에서 정한 음란행위의 알선 등에 관한 법리를 오해하여 판결에 영향을 미친 잘못이 있다."
"이유","그러므로 원심판결을 파기하고,사건을 다시 심리·판단하도록 원심법원에 환송하기로 하여, 관여 대법관의 일치된 의견으로 주문과 같이 판결한다."
