"판시사항","재심 사건에서 재심대상판결 당시의 법령이 변경된 경우, 범죄사실에 적용하여야 할 법령 및 법령 해석의 기준 시점"
"이유","형벌에 관한 법령이 헌법재판소의 위헌결정으로 인하여 소급하여 그 효력을 상실하였거나 법원에서 위헌·무효로 선언된 경우, 당해 법령을 적용하여 공소가 제기된 피고사건에 대하여는 형사소송법 제325조에 따라 무죄를 선고하여야 한다."
"이유","그러므로 구 대한민국헌법 제53조에 기한 대통령 긴급조치 제1호 및 제4호 위반으로 유죄판결이 선고되었다가 재심이 개시된 이 사건에서, 긴급조치 제1호와 제4호가 재심판결 당시 이미 해제되어 공소사실에 적용할 법령이 폐지되었다고 하더라도 먼저 긴급조치 제1호와 제4호가 헌법에 위반되는지 여부를 판단하여야 한다."
"이유","그런데 긴급조치 제1호에 관하여는 이미 대법원 2010. 12. 16. 선고 2010도5986 전원합의체 판결에서, 긴급조치 제4호에 관하여는 대법원 2013. 5. 16. 선고 2011도2631 전원합의체 판결에서 각 위헌·무효라고 판단한 바 있고, 이 사건에서도 이와 달리 판단할 사정이 없다."
"이유","거기에 상고이유에서 주장하는 바와 같이 면소판결과 긴급조치 제1호 및 제4호의 위헌 여부 판단에 관한 법리를 오해하거나 논리와 경험의 법칙을 위반하여 자유심증주의의 한계를 벗어난 위법이 없다."
"이유","재심이 개시된 사건에서 범죄사실에 대하여 적용하여야 할 법령은 재심판결 당시의 법령이고, 재심대상판결 당시의 법령이 변경된 경우 법원은 그 범죄사실에 대하여 재심판결 당시의 법령을 적용하여야 하며, 법령을 해석함에 있어서도 재심판결 당시를 기준으로 하여야 하는 것이다. "
"이유","피고인이 검사 이전의 수사기관에서 고문 등 가혹행위로 인하여 임의성 없는 자백을 하고 그 후 검사의 조사단계에서도 임의성 없는 심리상태가 계속되어 동일한 내용의 자백을 하였다면 검사의 조사단계에서 고문 등 자백의 강요행위가 없었다고 하여도 검사 앞에서의 자백도 임의성 없는 자백이라고 보아야 한다."
"이유","또한 기록상 진술증거의 임의성에 관하여 의심할 만한 사정이 나타나 있는 경우에는 법원은 직권으로 그 임의성 여부에 관하여 조사를 하여야 하고, 임의성이 인정되지 아니하여 증거능력이 없는 진술증거는 피고인이 증거로 함에 동의하더라도 증거로 삼을 수 없다."
"이유","원심은, 비록 피고인이 재심 전 제1심법정에서 피고인에 대한 검찰관 작성의 각 피의자신문조서에 관하여 그 진정성립 및 임의성을 인정하기는 하였으나 그 판시와 같은 사정들에 비추어 보면 피고인에 대한 검찰관 작성의 각 피의자신문조서는 그 진술의 임의성을 인정하기 어렵다."
"이유","달리 이에 관한 검사의 증명을 찾아볼 수 없으므로, 결국 피고인에 대한 검찰관 작성의 각 피의자신문조서는 증거능력이 없다고 판단하였다."
"이유","원심판결 이유를 앞서 본 법리와 기록에 비추어 살펴보면, 원심의 위와 같은 판단은 정당하고, 거기에 상고이유의 주장과 같은 검찰관 작성의 피의자신문조서의 임의성에 관한 법리를 오해한 위법이 없다."
"이유","이러한 불복이 없이 확정된 재심개시결정의 효력에 대하여는 더 이상 다툴 수 없으므로, 설령 재심개시결정이 부당하더라도 이미 확정되었다면 법원은 더 이상 재심사유의 존부에 대하여 살펴볼 필요 없이 형사소송법 제436조의 경우가 아닌 한 그 심급에 따라 다시 심판을 하여야 하는 것이다."
"이유","그리고 검사는 이 부분 상고이유로 피고인의 진술에 의해서도 내란예비음모의 범의가 인정된다는 취지로 주장하나, 이는 원심의 증거취사와 사실인정을 탓하는 것에 불과하여 적법한 상고이유로 보기 어렵다."
"이유","기록에 비추어 살펴보아도 원심의 사실인정과 판단에 논리와 경험의 법칙을 위반하여 자유심증주의의 한계를 벗어난 위법이 있다고 할 수 없다."
